Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Rădan, S.-C., Rădan, S.","Recent sediments as enviromagnetic archives. A brief overview",2011,"Geo-Eco-Marina","17",,,"103","122",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923610220&partnerID=40&md5=6d70441f2dcb77634e57dc2ec20873e1",Article,Scopus,2-s2.0-84923610220
"Carozza, L., Micu, C., Burens, A., Mihail, F., Carozza, J.-M., Mihai, F., Ailincǎi, S.C., Furestier, R., Haitǎ, C., Bǎlǎşescu, A., Radu, V.","The Danube Delta project: Society and environment during the Neolithic and Metal ages in the Danube Delta [Le projet Delta du Danube: Société et environnement durant le Néolithique et les âges des Métaux dans le Delta du dAnube]",2010,"Peuce",,"8",,"9","26",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879402141&partnerID=40&md5=dcaaf76e431c4a9e09d8c97d820555bb",Article,Scopus,2-s2.0-84879402141
"Tiron, L., Provansal, M.","Dynamic sedimentary in a deltaic environment: The St. George Branch in the Danube Delta [Dynamique sédimentaire dans un milieu deltaïque: Le Bras de St. George dans le delta du Danube]",2010,"Zeitschrift fur Geomorphologie","54","4",,"417","441",,3,10.1127/0372-8854/2010/0054-0014,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650386877&partnerID=40&md5=4c30492a1261986aa00dd5c04446a052",Article,Scopus,2-s2.0-78650386877
"Ciobanu, M., Popovici, I., Peña-Santiago, R.","Nematodes of the order Dorylaimida from Romania: Two interesting species of the subfamily Qudsianematinae Jairajpuri, 1965",2010,"Russian Journal of Nematology","18","1",,"41","48",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955439497&partnerID=40&md5=ac3ab16f9402c0e08267eb8f8d0782d1",Review,Scopus,2-s2.0-77955439497
"Romanescu, G., Cojocaru, I.","Hydrogeological considerations on the western sector of the danube delta - A case study for the caraorman and saraturile fluvial-marine levees (with similarities for the letea levee)",2010,"Environmental Engineering and Management Journal","9","6",,"795","806",,15,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77956964704&partnerID=40&md5=4648932b67598ddc910cddfe2784837d",Article,Scopus,2-s2.0-77956964704
"Rusu, E.","Modelling of wave-current interactions at the mouths of the Danube",2010,"Journal of Marine Science and Technology","15","2",,"143","159",,36,10.1007/s00773-009-0078-x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77955888328&partnerID=40&md5=908b68137f0beccaf108d0cfa7bac65c",Article,Scopus,2-s2.0-77955888328
"Vasile, G.G., Tanase, I.G.H., Dinu, C.","The influence of the air-drying pretreatment of sediment samples for metallic element mobilities",2010,"Analytical Letters","43","7",,"1199","1206",,4,10.1080/00032710903518625,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-77952640547&partnerID=40&md5=c8fd0b1c4bbb5a594d9e91154d47d667",Article,Scopus,2-s2.0-77952640547
"Vosniakos, F., Petre, J., Pascu, L., Vasile, G., Iancu, V., Staniloae, D., Nicolau, M., Cruceru, L., Golumbeanu, M.","Aquatic ecosystem quality assessment of the danube delta in the periods April-October 2007 and 2008",2010,"Fresenius Environmental Bulletin","19","1",,"20","29",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-76649111408&partnerID=40&md5=340d7cf440c126d5bb6079d258fa6a43",Article,Scopus,2-s2.0-76649111408
"Genkal, S.I., Teren'Ko, L.M., Nesterova, D.A.","New data on the centric diatoms (Centrophyceae, Bacillariophyta) of the Danube region of the black sea",2009,"Hydrobiological Journal","45","6",,"51","69",,1,10.1615/HydrobJ.v45.i6.40,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-71749113834&partnerID=40&md5=7ff38f15cd2f37449aa84c0da49d86e7",Article,Scopus,2-s2.0-71749113834
"Teodorof, L., Nastase, C., Anuti, I.","The study of heavy metals transfer factors on different types of aquatic vegetation",2009,"Studia Universitatis Babes-Bolyai Chemia","2",,,"99","110",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-70349192724&partnerID=40&md5=5ec23cba76a8a42eb1b6acaeaf829e6e",Article,Scopus,2-s2.0-70349192724
"Teodorof, L., Nǎstase, C., Anuti, I., Stroe, M.","The application of flow injection technology to automating cold vapor mercury analyses in aquatic ecosystems",2009,"Advances in Electrical and Computer Engineering","9","1",,"67","69",,2,10.4316/aece.2009.01012,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67749147001&partnerID=40&md5=ba8099b269484e7f5deb42fd1036ec66",Article,Scopus,2-s2.0-67749147001
"Dan, S., Stive, M.J.F., Walstra, D.-J.R., Panin, N.","Wave climate, coastal sediment budget and shoreline changes for the Danube Delta",2009,"Marine Geology","262","1-4",,"39","49",,25,10.1016/j.margeo.2009.03.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-67349189448&partnerID=40&md5=452d09889bd01f24bd753c6a8662e9be",Article,Scopus,2-s2.0-67349189448
"Stǎnicǎ, A., Panin, N.","Present evolution and future predictions for the deltaic coastal zone between the Sulina and Sf. Gheorghe Danube river mouths (Romania)",2009,"Geomorphology","107","1-2",,"41","46",,15,10.1016/j.geomorph.2007.04.041,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-64249144407&partnerID=40&md5=7ec36d67547310eb565a137d90e9e98d",Article,Scopus,2-s2.0-64249144407
