Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Kuna, E., Krpan, L., Palijan, G.","Dynamics of coliform bacteria numbers in the Kopački rit wetland area [Dinamika broja koliformnih bakterija u poplavnom podruèju Kopački rit]",2014,"Hrvatske Vode","22","88",,"89","96",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84903973945&partnerID=40&md5=18da3fe20c258d3e8ba3725391f65d39",Article,Scopus,2-s2.0-84903973945
"Bódis, E., Tóth, B., Sousa, R.","Massive mortality of invasive bivalves as a potential resource subsidy for the adjacent terrestrial food web",2014,"Hydrobiologia","735","1",,"253","262",,10,10.1007/s10750-013-1445-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84901982977&partnerID=40&md5=ee8825c53991edf310d3eba9436a3005",Article,Scopus,2-s2.0-84901982977
"Jovičić, K., Lenhardt, M., Višnjić-Jeftić, Z., Ikanović, V., Skoric, S., Smederevac-Lalić, M., Jacimovic, M., Gačic, Z., Jarić, I., Hegediš, A.","Assessment of fish stocks and elemental pollution in the danube, sava and kolubara rivers on the territory of the city of belgrade, serbia",2014,"Acta Zoologica Bulgarica","66","SUPPL. 7",,"179","184",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904462548&partnerID=40&md5=0a66f256a4eb76bced1efcb8308b560e",Article,Scopus,2-s2.0-84904462548
"Lang, P., Ewald, J.","Predictive modelling and monitoring of Ellenberg moisture value validates restoration success in floodplain forests",2014,"Applied Vegetation Science","17","3",,"543","555",,1,10.1111/avsc.12089,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902548167&partnerID=40&md5=91c392f32c465dcd728313a18cf00a6e",Article,Scopus,2-s2.0-84902548167
"Palamarchiuk, S.V., Sinika, V.S.","Scythian burials from the barrows in Izmail city and near Kamyshovka village",2014,"Stratum Plus","2014","3",,"291","302",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923427845&partnerID=40&md5=94420303a77c27b23d62f15e2284cf41",Article,Scopus,2-s2.0-84923427845
"Prutkin, I., Vajda, P., Bielik, M., Bezák, V., Tenzer, R.","Joint interpretation of gravity and magnetic data in the kolárovo anomaly region by separation of sources and the inversion method of local corrections",2014,"Geologica Carpathica","65","2",,"163","174",,,10.2478/geoca-2014-0011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84902468348&partnerID=40&md5=096c7a8f0ceba9f0ff71c0ddf40bf103",Article,Scopus,2-s2.0-84902468348
"Kazakov, S., Kerakova, M., Ihtimanska, M.","Ecological status of shallow lakes in the bulgarian danube river floodplain according to the ecoframe approach: Testing a system for integrated ecological quality assessment",2014,"Acta Zoologica Bulgarica","66","SUPPL. 7",,"191","196",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904502042&partnerID=40&md5=46e640e2dbc5732e44c4358c1f8f15b9",Article,Scopus,2-s2.0-84904502042
"Zorić, K., Simonović, P., Dikanović, V., Marković, V., Nikolić, V., Simić, V., Paunović, M.","Checklist of non-indigenous fish species of the River Danube",2014,"Archives of Biological Sciences","66","2",,"629","639",,1,10.2298/ABS1402619Z,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904004563&partnerID=40&md5=de28b8479b10ef9ad8a90b4e0dbfe1f6",Article,Scopus,2-s2.0-84904004563
"Mazilu, M., Dumitru, B., Baltălungă, A.-A., Dumitrescu, D.","Revitalization of the Danube port-cities through tourism",2014,"International Multidisciplinary Scientific GeoConference Surveying Geology and Mining Ecology Management, SGEM","2","5",,"611","618",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946564610&partnerID=40&md5=ca73c6d4dbef1a929582199e4fcb62ba",Conference Paper,Scopus,2-s2.0-84946564610
"Barbalić, D., Kuspilić, N.","Trends of indicators of hydrological alterations [Trendovi Indikatora Hidroloških Promjena]",2014,"Gradjevinar","66","7",,"613","624",,1,10.14256/JCE.1003.2014,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905862165&partnerID=40&md5=cfdaa45ea3ae7420cdb371da7d21341c",Article,Scopus,2-s2.0-84905862165
"Suchenwirth, L., Stümer, W., Schmidt, T., Förster, M., Kleinschmit, B.","Large-scale mapping of carbon stocks in riparian forests with self-organizing maps and the k-nearest-neighbor algorithm",2014,"Forests","5","7",,"1635","1652",,1,10.3390/f5071635,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84904035223&partnerID=40&md5=ed7221bea7fb07c5b4be9523d5e99962",Article,Scopus,2-s2.0-84904035223
"Tiron Duţu, L., Provansal, M., Le Coz, J., Duţu, F.","Contrasted sediment processes and morphological adjustments in three successive cutoff meanders of the Danube delta",2014,"Geomorphology","204",,,"154","164",,2,10.1016/j.geomorph.2013.07.035,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887241516&partnerID=40&md5=e4a8bd22ef33339a9151872b40fbfc72",Article,Scopus,2-s2.0-84887241516
"Borza, P.","Life history of invasive Ponto-Caspian mysids (Crustacea: Mysida): A comparative study",2014,"Limnologica","44",,,"9","17",,3,10.1016/j.limno.2013.06.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84887659976&partnerID=40&md5=59c0c62406ba30d66b813e0641344748",Article,Scopus,2-s2.0-84887659976
"Constantinescu, D., Carlan, A.B.","The ecological footprint and the evolution of some Roman sites on the Danube River",2014,"WIT Transactions on the Built Environment","143",,,"3","15",,,10.2495/DSHF140011,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907048117&partnerID=40&md5=12464f82741b0b5a4c6e4db3ac55ec6d",Conference Paper,Scopus,2-s2.0-84907048117
"Wiedl, T., Harzhauser, M., Kroh, A., Ćorić, S., Piller, W.E.","From biologically to hydrodynamically controlled carbonate production by tectonically induced paleogeographic rearrangement (Middle Miocene, Pannonian Basin)",2014,"Facies","60","4",,"865","881",,,10.1007/s10347-014-0408-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939886583&partnerID=40&md5=427802b31dcda525d4fa993ad2d54af3",Article,Scopus,2-s2.0-84939886583
"Şundri, M.I., Gomoiu, M.-T.","Zooplankton features in the aquatic area influenced by CernavodĂ nuclear power plant",2014,"Geo-Eco-Marina","20",,,"131","136",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84923620344&partnerID=40&md5=bd8b9f9fb4e45214a95be01e615cf172",Article,Scopus,2-s2.0-84923620344
"Toth, Zs.","Introduction of the Ráckevei (Soroksári) Riverbranch of danube focusing on environmental aspects based on hydro-biological data [A Ráckevei (Soroksári) - Duna-ág helyzetének környezet-És természetvédelmi szempontú bemutatása hidrológiai adatok alapján]",2014,"Journal of Landscape Ecology","12","1",,"75","93",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945583567&partnerID=40&md5=7ba3d49ea143b7e9cd03687a67fe732b",Review,Scopus,2-s2.0-84945583567
