Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Ticar, B.","Environmental risk regulation in the environmental protection law of the Republic of Slovenia",2011,"Komunikacie",13,2,,104,108,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79958861226&partnerID=40&md5=4156f656e4c04b328013e12b3240e802",Review,Scopus,2-s2.0-79958861226
"Huang, C.-F., Chen, R.-L., Lin, J.-L.","The current practice and promotion strategy of dry-mix mortars in Taiwan - Taking technology acceptance model as an approach",2011,"2011 International Conference on Consumer Electronics, Communications and Networks, CECNet 2011 - Proceedings",,, 5769358,1783,1786,,,10.1109/CECNET.2011.5769358,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79958254574&partnerID=40&md5=565e07c3d87982db4869b94b2e18bd98",Conference Paper,Scopus,2-s2.0-79958254574
"Jinyi, C., Yingjia, H., Jia, L., Nian, L., Xiaomei, Z.","Studies on the carbon emissions supervision system of low carbon urban",2011,"2011 International Conference on Consumer Electronics, Communications and Networks, CECNet 2011 - Proceedings",,, 5769377,1687,1690,,,10.1109/CECNET.2011.5769377,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79958262200&partnerID=40&md5=f0b80a3c3a93e23dfdca12666f016827",Conference Paper,Scopus,2-s2.0-79958262200
"Yin, M.M., Zhang, K.F., Wang, Y.L.","Operation and maintenance of wastewater treatment plants: Case studies in China",2011,"Advanced Materials Research",243-249,,,4797,4805,,,10.4028/www.scientific.net/AMR.243-249.4797,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79958048649&partnerID=40&md5=83e448ffde7b82a50b735bc566d624f8",Conference Paper,Scopus,2-s2.0-79958048649
"Lizal, L., Earnhart, D.","Pollution control in a transition economy: Do firms face economies and/or diseconomies of scale?",2011,"Transformations in Business and Economics",10,2,,18,41,,1,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79958026426&partnerID=40&md5=845c8dd29cbd41a98085ae2fe4e03984",Review,Scopus,2-s2.0-79958026426
"Wozniak, C.A., Martinez, J.C.","U.S. EPA regulation of plant-incorporated protectants: Assessment of impacts of gene flow from pest-resistant plants",2011,"Journal of Agricultural and Food Chemistry",59,11,,5859,5864,,4,10.1021/jf1030168,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79957977433&partnerID=40&md5=edabe7539039db1c86fbaa6e8585eb2b",Article,Scopus,2-s2.0-79957977433
"Shang, B., Chen, Y., Tao, X., Dong, H., Huang, H.","Inhibitory effect of biogas slurry from swine farm on some vegetable pathogen",2011,"Shengtai Xuebao/ Acta Ecologica Sinica",31,9,,2509,2515,,2,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79957851371&partnerID=40&md5=971b1e668224acda3a8633c5865fc86e",Article,Scopus,2-s2.0-79957851371
"Zhao, H.","Application of solar technology in design of public buildings of cold regions",2011,"Applied Mechanics and Materials",55-57,,,1447,1453,,,10.4028/www.scientific.net/AMM.55-57.1447,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79957766700&partnerID=40&md5=85ae3b05d11d8288791ac23501ad9c4b",Conference Paper,Scopus,2-s2.0-79957766700
"Law, R., Ting, J.","The impact of visitor behavior on the environmental protection of tourist farms in guangdong",2011,"Asia Pacific Journal of Tourism Research",16,3,,307,323,,7,10.1080/10941665.2011.573244,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79957839925&partnerID=40&md5=f2335637a88f886c267429385d6aa311",Article,Scopus,2-s2.0-79957839925
"Han, X.","ATCA as an avenue of overseas environmental protection and its implication to China's overseas investors",2011,"Frontiers of Law in China",6,2,,219,240,,,10.1007/s11463-011-0126-4,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79957473895&partnerID=40&md5=4cc65a20bf8ddb71bc96c61a3f94ec20",Article,Scopus,2-s2.0-79957473895
"Oelkers, E.H., Hering, J.G., Zhu, C.","Water: Is there a global crisis?",2011,"Elements",7,3,,157,162,,20,10.2113/gselements.7.3.157,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80052290495&partnerID=40&md5=d1c81af656e4929e1acc85df97bf5785",Article,Scopus,2-s2.0-80052290495
"Gallezot, P.","Heterogeneous catalysis: A unique tool for a sustainable development | La catalyse hétérogène : Un outil clé pour le développement durable",2011,"Actualite Chimique",,353-354,,37,42,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80053926147&partnerID=40&md5=0ce457855d31c205f9d6dbc2d0837f10",Article,Scopus,2-s2.0-80053926147
"Zabortseva, T.","Modern economic and geographical characteristics and prospects of development of environmental protection infrastructure in the baikal region of Russia",2011,"Quaestiones Geographicae",30,2,,81,86,,,10.2478/v10117-011-0020-2,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79959838520&partnerID=40&md5=ad6893a12521cfcc990f7214eb059d55",Article,Scopus,2-s2.0-79959838520
"Elliott, L.","Shades of green in East Asia: The impact of financial crises on the environment",2011,"Contemporary Politics",17,2,,167,183,,5,10.1080/13569775.2011.565985,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79956218390&partnerID=40&md5=3b76e9ad6191a0b767dcb0a00daf35c4",Article,Scopus,2-s2.0-79956218390
"Peter, T., Jozsef, M., Darko, G., Jurij, K.","Simulation of methanol production from biogas and natural gas",2011,"Research Journal of Chemistry and Environment",15,2,,349,354,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-80051906963&partnerID=40&md5=00b68d13d395231e29934e57826425a8",Article,Scopus,2-s2.0-80051906963
"Bérard, M.-H.","Légitimité des normes environnementales dans la gestion locale de la forêt à Madagascar",2011,"Canadian Journal of Law and Society",26,1,,89,111,,4,10.3138/cjls.26.1.089,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79956339602&partnerID=40&md5=38545a1c6c04d26879c5931f0523b950",Review,Scopus,2-s2.0-79956339602
"Vartolomei, F., Alexe, R., Andrei, M.-T., Nedea, P.-S., Pop, I.","Development of a pilot wetlands area to protect biodiversity in the southern basin of Prut river",2011,"International Conference on Energy, Environment, Devices, Systems, Communications, Computers, EEDSCC'11",,,,112,117,,,,"https://www.scopus.com/inward/record.url?eid=2-s2.0-79956076075&partnerID=40&md5=ba9bd8d9e039e24e040e56bbfcd410c2",Conference Paper,Scopus,2-s2.0-79956076075
null,"Working Groups",2011,"Ecosystem-Based Fisheries Management in the Western Pacific",,,,79,91,,,10.1002/9780470959480.ch5,"https://www.scopus.com/inward/record.url?eid=2-s2.0-84886326178&partnerID=40&md5=62257a61c61857bc8f587bd842ed58b6",Book Chapter,Scopus,2-s2.0-84886326178
