Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Alfieri, L., Feyen, L., Dottori, F., Bianchi, A.","Ensemble flood risk assessment in Europe under high end climate scenarios",2015,"Global Environmental Change","35",,,"199","212",,6,10.1016/j.gloenvcha.2015.09.004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942237790&partnerID=40&md5=c3590dc7259dfdfc5733a656a6aac84b",Article,Scopus,2-s2.0-84942237790
"Filatova, T.","Empirical agent-based land market: Integrating adaptive economic behavior in urban land-use models",2015,"Computers, Environment and Urban Systems","54",,,"397","413",,3,10.1016/j.compenvurbsys.2014.06.007,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84935031135&partnerID=40&md5=35b87b633e74ddbfe446c72b457e1399",Article,Scopus,2-s2.0-84935031135
"Singer, M.B., Harrison, L.R., Donovan, P.M., Blum, J.D., Marvin-DiPasquale, M.","Hydrologic indicators of hot spots and hot moments of mercury methylation potential along river corridors",2015,"Science of the Total Environment",,,,"","",,,10.1016/j.scitotenv.2016.03.005,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961223875&partnerID=40&md5=28518dfa9ebc9c6f25339216a9c5985d",Article in Press,Scopus,2-s2.0-84961223875
"Bozzi, S., Passoni, G., Bernardara, P., Goutal, N., Arnaud, A.","Roughness and Discharge Uncertainty in 1D Water Level Calculations",2015,"Environmental Modeling and Assessment","20","4",,"343","353",,1,10.1007/s10666-014-9430-6,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934436712&partnerID=40&md5=7ddc2bee376e1fa7addeab5940c678d0",Article,Scopus,2-s2.0-84934436712
"Bodoque, J.M., Díez-Herrero, A., Eguibar, M.A., Benito, G., Ruiz-Villanueva, V., Ballesteros-Cánovas, J.A.","Challenges in paleoflood hydrology applied to risk analysis in mountainous watersheds - A review",2015,"Journal of Hydrology","529","P2",,"449","467",,1,10.1016/j.jhydrol.2014.12.004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940957079&partnerID=40&md5=5680b09ca652ba3b57256adae42442e2",Article,Scopus,2-s2.0-84940957079
"Ho, M., Kiem, A.S., Verdon-Kidd, D.C.","A paleoclimate rainfall reconstruction in the Murray-Darling Basin (MDB), Australia: 1. Evaluation of different paleoclimate archives, rainfall networks, and reconstruction techniques",2015,"Water Resources Research","51","10",,"8362","8379",,4,10.1002/2015WR017058,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965174602&partnerID=40&md5=adf75cf1fa25af7e92b6ca9e1ca83d7c",Article,Scopus,2-s2.0-84965174602
"Deo, R.C., Byun, H.-R., Adamowski, J.F., Kim, D.-W.","A Real-time Flood Monitoring Index Based on Daily Effective Precipitation and its Application to Brisbane and Lockyer Valley Flood Events",2015,"Water Resources Management","29","11",,"4075","4093",,1,10.1007/s11269-015-1046-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938970119&partnerID=40&md5=f98fc610e4aac1d760c2dcf257c9cbf9",Article,Scopus,2-s2.0-84938970119
"Niculescu, S., Lardeux, C., Hanganu, J., Mercier, G., David, L.","Change detection in floodable areas of the Danube delta using radar images",2015,"Natural Hazards","78","3",,"1899","1916",,,10.1007/s11069-015-1809-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938991206&partnerID=40&md5=b28368c93d620675a92dba0090df305a",Article,Scopus,2-s2.0-84938991206
"Serre, D.","Adapting Territorial Systems Through their Components: The Case of Critical Networks",2015,"Resilience Imperative: Uncertainty, Risks and Disasters",,,,"109","123",,,10.1016/B978-1-78548-051-5.50006-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967389221&partnerID=40&md5=7140e9e6f1ab5f19c4081a1f72a9ab69",Book Chapter,Scopus,2-s2.0-84967389221
"Zeleňáková, M., Gaňová, L., Purcz, P., Satrapa, L.","Methodology of flood risk assessment from flash floods based on hazard and vulnerability of the river basin",2015,"Natural Hazards","79","3",,"2055","2071",,,10.1007/s11069-015-1945-x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947025577&partnerID=40&md5=448c4f06d7c68867ba714ac465c3c903",Article,Scopus,2-s2.0-84947025577
