Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Li, L., Zhang, J., Lin, J., Liu, J.","Biological technologies for the removal of sulfur containing compounds from waste streams: bioreactors and microbial characteristics",2015,"World Journal of Microbiology and Biotechnology","31","10",,"1501","1515",,,10.1007/s11274-015-1915-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84941420760&partnerID=40&md5=3bf4a508bf34b3a27c20aa58e3582bc3",Review,Scopus,2-s2.0-84941420760
"Shan, B., Wang, C., Li, X., Li, W., Zhang, H.","Method for river pollution control plan based on water quality target management and the case study",2015,"Huanjing Kexue Xuebao/Acta Scientiae Circumstantiae","35","8",,"2314","2323",,,10.13671/j.hjkxxb.2015.0029,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940990392&partnerID=40&md5=451a5ca19db30ff376f689c1bb4a7905",Article,Scopus,2-s2.0-84940990392
"Zhang, Y.M., Huang, G., Lu, H.W., He, L.","Planning of water resources management and pollution control for Heshui River watershed, China: A full credibility-constrained programming approach",2015,"Science of the Total Environment","524-525",,,"280","289",,4,10.1016/j.scitotenv.2015.03.032,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927942634&partnerID=40&md5=65dd6f42b292ef548a8a62c26a7375e9",Article,Scopus,2-s2.0-84927942634
"Zeng, L., Dong, X., Zeng, S., Zhang, T., Li, J., Chen, J.","Post-evaluation of a water pollution control plan: methodology and case study",2015,"Frontiers of Environmental Science and Engineering","9","4",,"712","724",,,10.1007/s11783-015-0773-2,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84934440584&partnerID=40&md5=5f7b9a212ffc5a2dd5c65ee5b4c1d1d6",Article,Scopus,2-s2.0-84934440584
"Tang, X., Wu, M., Yang, W., Scholz, M.","Impact of Simulated Water Level Regulation on Sediment Nutrient Release",2015,"Water, Air, and Soil Pollution","226","8", 2519,"","",,,10.1007/s11270-015-2519-y,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937468226&partnerID=40&md5=ad3aa17f4ed6a2da8f6e61c686679788",Article,Scopus,2-s2.0-84937468226
"Simsek, H., Kobya, M., Khan, E., Bezbaruah, A.N.","Removal of aqueous cyanide with strongly basic ion-exchange resin",2015,"Environmental Technology (United Kingdom)","36","13",,"1612","1622",,1,10.1080/09593330.2014.999829,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926522660&partnerID=40&md5=9519043a107fd3986a00e333473bdf51",Article,Scopus,2-s2.0-84926522660
"Rathnayake, U.S., Tanyimboh, T.T.","Evolutionary Multi-Objective Optimal Control of Combined Sewer Overflows",2015,"Water Resources Management","29","8",,"2715","2731",,2,10.1007/s11269-015-0965-3,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939992557&partnerID=40&md5=9ede05d851dd97b62064f951efcdec7a",Article,Scopus,2-s2.0-84939992557
"Pinay, G., Peiffer, S., De Dreuzy, J.-R., Krause, S., Hannah, D.M., Fleckenstein, J.H., Sebilo, M., Bishop, K., Hubert-Moy, L.","Upscaling Nitrogen Removal Capacity from Local Hotspots to Low Stream Orders’ Drainage Basins",2015,"Ecosystems","18","6",,"1101","1120",,5,10.1007/s10021-015-9878-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940721936&partnerID=40&md5=6629af56e87116b48fd68de19e147961",Article,Scopus,2-s2.0-84940721936
"Kupkanchanakul, W., Kwonpongsagoon, S., Bader, H.-P., Scheidegger, R.","Integrating Spatial Land Use Analysis and Mathematical Material Flow Analysis for Nutrient Management: A Case Study of the Bang Pakong River Basin in Thailand",2015,"Environmental Management","55","5",,"1022","1035",,,10.1007/s00267-014-0441-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939959116&partnerID=40&md5=f0866f077ce469fbc05f136c9f4a4dd4",Article,Scopus,2-s2.0-84939959116
"Diamond, M.L., de Wit, C.A., Molander, S., Scheringer, M., Backhaus, T., Lohmann, R., Arvidsson, R., Bergman, T., Hauschild, M., Holoubek, I., Persson, L., Suzuki, N., Vighi, M., Zetzsch, C.","Exploring the planetary boundary for chemical pollution",2015,"Environment International","78",,,"8","15",,11,10.1016/j.envint.2015.02.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84922439343&partnerID=40&md5=dd54de47edbadd077e1fbdf52be3ddfb",Review,Scopus,2-s2.0-84922439343
"Depledge, J., Yamin, F.","The Global Climate-change Regime: A Defence",2015,"The Economics and Politics of Climate Change",,,,"","",,,10.1093/acprof:osobl/9780199573288.003.0021,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84938501476&partnerID=40&md5=c61b2c9ce36245f224d53eafcc5aeeb4",Book Chapter,Scopus,2-s2.0-84938501476
"Sage, J., Berthier, E., Gromaire, M.-C.","Stormwater Management Criteria for On-Site Pollution Control: A Comparative Assessment of International Practices",2015,"Environmental Management","56","1",,"66","80",,1,10.1007/s00267-015-0485-1,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930275774&partnerID=40&md5=a6e5bd95666941783524f258a8dcab6d",Article,Scopus,2-s2.0-84930275774
"Billen, P., Verbinnen, B., De Smet, M., Dockx, G., Ronsse, S., Villani, K., De Greef, J., Van Caneghem, J., Vandecasteele, C.","Comparison of solidification/stabilization of fly ash and air pollution control residues from municipal solid waste incinerators with and without cement addition",2015,"Journal of Material Cycles and Waste Management","17","2",,"229","236",,,10.1007/s10163-014-0292-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939884327&partnerID=40&md5=b282486daf821490812f3c86090539f5",Article,Scopus,2-s2.0-84939884327
"Pan, X.","The study on air PM<inf>2.5</inf> pollution health effects: Recent trends in China current conditions",2015,"PM2.5: Role of Oxidative Stress in Health Effects and Prevention Strategy",,,,"37","45",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956715175&partnerID=40&md5=d0949c522c9bde4ef0f428e10c81bd36",Book Chapter,Scopus,2-s2.0-84956715175
"Chuwah, C., van Noije, T., van Vuuren, D.P., Stehfest, E., Hazeleger, W.","Global impacts of surface ozone changes on crop yields and land use",2015,"Atmospheric Environment","106",,,"11","23",,2,10.1016/j.atmosenv.2015.01.062,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84921902431&partnerID=40&md5=693af611ad8b46ae71befd2a9a430f93",Article,Scopus,2-s2.0-84921902431
"Vezzaro, L., Sharma, A.K., Ledin, A., Mikkelsen, P.S.","Evaluation of stormwater micropollutant source control and end-of-pipe control strategies using an uncertainty-calibrated integrated dynamic simulation model",2015,"Journal of Environmental Management","151",,,"56","64",,1,10.1016/j.jenvman.2014.12.013,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919360835&partnerID=40&md5=8a5f90214e4c495928d05f02a3b877eb",Article,Scopus,2-s2.0-84919360835
