Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Source,EID
"Heller, C., Hoppert, M., Reitner, J.","Immunological localization of coenzyme M reductase in anaerobic methane-oxidizing archaea of ANME 1 and ANME 2 type",2008,"Geomicrobiology Journal","25","3-4",,"149","156",,17,10.1080/01490450802006884,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-46249128311&partnerID=40&md5=2e250c967dc0acb46450718aba09abb6",Article,Scopus,2-s2.0-46249128311
"Kovačić, M., Engín, S.","Two new species of Neogobius (Gobiidae) from northeastern Ttorkey",2008,"Cybium","32","1",,"73","80",,7,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-46049110512&partnerID=40&md5=fffb328135667bb45fb6a6f4f3278ad2",Article,Scopus,2-s2.0-46049110512
"van der Meer, M.T.J., Sangiorgi, F., Baas, M., Brinkhuis, H., Sinninghe Damsté, J.S., Schouten, S.","Molecular isotopic and dinoflagellate evidence for Late Holocene freshening of the Black Sea",2008,"Earth and Planetary Science Letters","267","3-4",,"426","434",,54,10.1016/j.epsl.2007.12.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-39549120681&partnerID=40&md5=83cdc7de387f500128ececaa67abe114",Article,Scopus,2-s2.0-39549120681
"Thébault, H., Rodriguez y Baena, A.M., Andral, B., Barisic, D., Albaladejo, J.B., Bologa, A.S., Boudjenoun, R., Delfanti, R., Egorov, V.N., El Khoukhi, T., Florou, H., Kniewald, G., Noureddine, A., Patrascu, V., Pham, M.K., Scarpato, A., Stokozov, N.A., Topcuoglu, S., Warnau, M.","137Cs baseline levels in the Mediterranean and Black Sea: A cross-basin survey of the CIESM Mediterranean Mussel Watch programme",2008,"Marine Pollution Bulletin","57","6-12",,"801","806",,36,10.1016/j.marpolbul.2007.11.010,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-45049087738&partnerID=40&md5=c03fd0f13e014e233d1c48bd3f60bcd4",Article,Scopus,2-s2.0-45049087738
"Vorobyova, L., Bondarenko, O., Izaak, O.","Meiobenthic polychaetes in the northwestern Black Sea",2008,"Oceanological and Hydrobiological Studies","37","1",,"43","55",,2,10.2478/v10009-007-0039-9,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-41849091451&partnerID=40&md5=d77de27d521491710b633b44eae8d0b2",Article,Scopus,2-s2.0-41849091451
"Nakas, Y.D.","14th-century galleys in the Black Sea: Ships in the Romance of Alexander the Great",2008,"International Journal of Nautical Archaeology","37","1",,"77","87",,1,10.1111/j.1095-9270.2007.00174.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-39049100316&partnerID=40&md5=35ae5fb21f5147a2e51bc58b7b674b88",Article,Scopus,2-s2.0-39049100316
"Ergun, S., Yigit, M., Turker, A., Harmantepe, B.","Incorporation of soybean meal and hazelnut meal in diets for Black Sea turbot (Scophthalmus maeoticus)",2008,"Israeli Journal of Aquaculture - Bamidgeh","60","1",,"27","36",,15,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-42249088618&partnerID=40&md5=2f94ea03ca3da947435d547c99159b3e",Article,Scopus,2-s2.0-42249088618
"Grégoire, M., Raick, C., Soetaert, K.","Numerical modeling of the central Black Sea ecosystem functioning during the eutrophication phase",2008,"Progress in Oceanography","76","3",,"286","333",,20,10.1016/j.pocean.2008.01.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-40149105666&partnerID=40&md5=cfec7f16ccfdf73c3f31d0062043e4d9",Article,Scopus,2-s2.0-40149105666
"Hiscott, R.N., Aksu, A.E., Mudie, P.J.","Comment on ""The timing and evolution of the post-glacial transgression across the Sea of Marmara shelf south of İstanbul"" by Eriş et al., Marine Geology 243, 57-76",2008,"Marine Geology","248","3-4",,"228","236",,7,10.1016/j.margeo.2007.11.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-38749121260&partnerID=40&md5=a8ebd58edf9d8170c7a8c615cd559d8c",Article,Scopus,2-s2.0-38749121260
"Selifonova, Zh.P., Shmeleva, A.A.","Studies on the fauna of copepoda in novorossiysk bay of the black sea and in the sea of Azov",2008,"Hydrobiological Journal","44","1",,"26","33",,,10.1615/HydrobJ.v44.i1.30,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-39049090025&partnerID=40&md5=2c4e49c2f2821d53c4af572864e39a80",Article,Scopus,2-s2.0-39049090025
"Knudsen, S.","Ethical know-how and traditional ecological knowledge in small scale fisheries on the eastern Black Sea coast of Turkey",2008,"Human Ecology","36","1",,"29","41",,10,10.1007/s10745-007-9134-5,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-38149008973&partnerID=40&md5=448a6da3556ce0ed7eb5638d2194c1c9",Article,Scopus,2-s2.0-38149008973
"Kotlík, P., Marková, S., Choleva, L., Bogutskaya, N.G., Ekmekçi, F.G., Ivanova, P.P.","Divergence with gene flow between Ponto-Caspian refugia in an anadromous cyprinid Rutilus frisii revealed by multiple gene phylogeography",2008,"Molecular Ecology","17","4",,"1076","1088",,30,10.1111/j.1365-294X.2007.03638.x,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-38849165216&partnerID=40&md5=cff66ce3a0a3a69d6a85547335de6795",Article,Scopus,2-s2.0-38849165216
"Wiman, B.L.B., Gaydarova, P.N.","Spectral composition of shade light in coastal-zone oak forests in SE Bulgaria, and relationships with leaf area index: A first overview",2008,"Trees - Structure and Function","22","1",,"63","76",,1,10.1007/s00468-007-0169-4,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-38849177553&partnerID=40&md5=4b65a1829a2c8dd9397bdfb7c24684cf",Article,Scopus,2-s2.0-38849177553
"Shillington, D.J., White, N., Minshull, T.A., Edwards, G.R.H., Jones, S.M., Edwards, R.A., Scott, C.L.","Cenozoic evolution of the eastern Black Sea: A test of depth-dependent stretching models",2008,"Earth and Planetary Science Letters","265","3-4",,"360","378",,42,10.1016/j.epsl.2007.10.033,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-38049030345&partnerID=40&md5=1af580cf0f3342bdd20e2cd88f1f855b",Article,Scopus,2-s2.0-38049030345
"Holzner, C.P., McGinnis, D.F., Schubert, C.J., Kipfer, R., Imboden, D.M.","Noble gas anomalies related to high-intensity methane gas seeps in the Black Sea",2008,"Earth and Planetary Science Letters","265","3-4",,"396","409",,8,10.1016/j.epsl.2007.10.029,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-38049028675&partnerID=40&md5=a45eaecc005eb2ae017c7cda9521d55d",Article,Scopus,2-s2.0-38049028675
"Bahr, A., Lamy, F., Arz, H.W., Major, C., Kwiecien, O., Wefer, G.","Abrupt changes of temperature and water chemistry in the late Pleistocene and early Holocene Black Sea",2008,"Geochemistry, Geophysics, Geosystems","9","1", Q01004,"","",,47,10.1029/2007GC001683,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-57749192793&partnerID=40&md5=0f2337aa36fde3170adb8a6f9e74d47c",Article,Scopus,2-s2.0-57749192793
"Kosarev, A.N., Zonn, I.S.","Brief history of the black sea exploration and oceanographic investigation",2008,"Handbook of Environmental Chemistry, Volume 5: Water Pollution","5 Q",,,"11","30",,,10.1007/698_5_065,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-35948945754&partnerID=40&md5=9abd32c52631eb3dcfe682e98eb19dbc",Article,Scopus,2-s2.0-35948945754
"Shiganova, T.","Introduced species",2008,"Handbook of Environmental Chemistry, Volume 5: Water Pollution","5 Q",,,"375","406",,3,10.1007/698_5_066,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-35948990077&partnerID=40&md5=c94d4becb93f56951327b7c6ea83e82f",Article,Scopus,2-s2.0-35948990077
"Zonn, I.S., Zhiltsov, S.S.","Socioeconomic, legal and political problems of the Black Sea",2008,"Handbook of Environmental Chemistry, Volume 5: Water Pollution","5 Q",,,"423","437",,,10.1007/698_5_064,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-35948971416&partnerID=40&md5=9c9e5b3b04b6e89c92c6aae2e13620de",Article,Scopus,2-s2.0-35948971416
