"","Authors","Title","Year","Cited.by","Affiliations","EID"
"217","Reber R., Akçar N., Yesilyurt S., Yavuz V., Tikhomirov D., Kubik P.W., Schlüchter C.","Glacier advances in northeastern turkey before and during the global last glacial maximum",2014,5,"Institute of Geological Sciences, University of Bern, Baltzerstrasse 1+3, CH-3012 Bern, Switzerland; Department of Geography, Çankiri Karatekin University, TR-18100 Çankiri, Turkey; Faculty of Mines, Istanbul Technical University, TR-80626 Maslak, Istanbul, Turkey; Laboratory of Ion Beam Physics, ETH Zürich, CH-8093 Zürich, Switzerland","2-s2.0-84905490002"
"218","Ari Güner H.A., Yumuk H.A.","Application of a fuzzy inference system for the prediction of longshore sediment transport",2014,2,"Hydraulic and Coastal Engineering Laboratory, Civil Engineering Department, Yildiz Technical University, Istanbul, Turkey","2-s2.0-84908136702"
"219","Bulbul S., Parlaktuna M., Mehmetoglu T., Karabakal U.","Black sea hydrate formation conditions of methane hydrogen sulfide mixtures",2014,NA,"Department of Petroleum and Natural Gas Engineering, Middle East Technical University, Ankara 06531, Turkey; Turkish Petroleum Corporation, Ankara, Turkey","2-s2.0-84903158988"
"220","Andersen M.B., Romaniello S., Vance D., Little S.H., Herdman R., Lyons T.W.","A modern framework for the interpretation of 238U/235U in studies of ancient ocean redox",2014,19,"Institute of Geochemistry and Petrology, Department of Earth Sciences, ETH-Zürich, Clausiusstrasse 25, 8092 Zürich, Switzerland; Bristol Isotope Group, School of Earth Sciences, University of Bristol, Wills Memorial Building, Queen's Road, Bristol BS8 1RJ, United Kingdom; School of Earth and Space Exploration, Arizona State University, Tempe, AZ 85287, United States; Department of Earth Sciences, University of California, Riverside, CA 92521, United States","2-s2.0-84902201089"
"221","Tanase Zanopol A., Onea F., Rusu E.","Coastal impact assessment of a generic wave farm operating in the Romanian nearshore",2014,15,"University Dunarea de Jos of Galati, Department of Mechanical Engineering, Galati, Romania","2-s2.0-84904161985"
"222","Balcilar T., Zararsiz A., Kalayci Y., Dogan G., Tuncel G.","Chemical composition of Eastern Black Sea aerosol-Preliminary results",2014,1,"Department of Environmental Engineering, Middle East Technical University, 06800 Ankara, Turkey; Turkish Atomic Energy Authority, Ankara Nuclear Research and Training Center, 06983 Ankara, Turkey; Department of Environmental Engineering, Akdeniz University, 07058 Antalya, Turkey","2-s2.0-84901686878"
"223","Shiganova T.A., Legendre L., Kazmin A.S., Nival P.","Interactions between invasive ctenophores in the Black Sea: Assessment of control mechanisms based on long-term observations",2014,1,"P. P. Shirshov Institute of Oceanology, Russian Academy of Sciences, Nakhimovsky Prospekt 36, Moscow, Russian Federation; Sorbonne Universités, UPMC Univ Paris 06, UMR 7093, LOV, Observatoire Océanologique, 06230 Villefranche-sur-Mer, France; Centre National de la Recherche Scientifique (CNRS), UMR 7093, LOV, Observatoire Océanologique, 06230 Villefranche-sur-Mer, France","2-s2.0-84904512488"
"224","Cherkasov A.A., Šmigel M., Ivantsov V.G., Ryabtsev A.A., Molchanova V.S.","Hillmen of the Black Sea Province (early XIX century): Geography, demography, antropology",2014,3,"Sochi State University, Russian Federation; Matej Bel University, Slovakia","2-s2.0-84903729906"
"225","Gok I., Ucar F., Ozgur O., Celebi A., Sentürk O., Hulagu S.","CARD15 gene 3020insC mutation with inflammatory bowel diseases patients in the black sea region of turkey",2014,NA,"Department of Bioengineering, Kafkas University, Kars, Turkey; Departments of Medical Biology and Genetics, School of Medicine, Akdeniz University, Antalya, Turkey; Department Internal Medicine, Divisions of Gastroenterology, Karadeniz Technical University, Trabzon, Turkey; Department Internal Medicine, Division of Gastroenterology, School of Medicine, Kocaeli University, Kocaeli, Turkey","2-s2.0-84902458045"
"226","Sanli A.E., Aytaç A., Mat M.","Investigation of the electro-oxidation of artificial Black Sea water by cyclic voltammetry on molybdenum (II)",2014,2,"Turgut Ozal University, Engineering Faculty, Electric and Electronics Engineering Department, Ankara, Turkey; Gazi University, Faculty of Science, Department of Chemistry, Teknikokullar, Ankara, Turkey; Nigde University, Faculty of Engineering, Department of Mechanical Engineering, Nigde, Turkey; Institute of Energy and Climate Research (IEK-3), Forschungszentrum Jülich, D-52425 Jülich, Germany","2-s2.0-84901227815"
"227","Rusu L., Butunoiu D., Rusu E.","Analysis of the extreme storm events in the Black Sea considering the results of a ten-year wave hindcast",2014,10,"Department of Mechanical Engineering, Dunarea de Jos' University of Galati, 111 Domneasca Street, Galati, Romania","2-s2.0-84945253336"
"228","Bandoc G., Mateescu R., Dragomir E., Golumbeanu M., Comanescu L., Nedelea A.","Systemic approach of the impact induced by climate changes on hydrothermic factors at the romanian black sea coast",2014,4,"University of Bucharest, Center for Coastal Research and Environmental Protection, 1 Nicolae Balcescu Blvd., Sector 1, Bucharest, Romania; 'Grigore Antipa' National Institute for Marine Research and Development - (NIRDEP), 00 Mamaia Blvd., Constanta, Romania","2-s2.0-84978289397"
"229","Munteanu I., Willingshofer E., Matenco L., Sokoutis D., Cloetingh S.","Far-field contractional polarity changes in models and nature",2014,2,"Utrecht University, Department of Earth Sciences, Budapestlaan 4, 3584CD Utrecht, Netherlands; Department of Geosciences, University of Oslo, PO Box 1047 Blindern, N-0316 Oslo, Norway","2-s2.0-84897556137"
"230","Onea F., Rusu E.","An evaluation of the wind energy in the North-West of the Black Sea",2014,21,"Department of Applied Mechanics, Dunarea de Jos University of Galati, 800201 Galati, Romania","2-s2.0-84888421878"
"231","Ogut H., Altuntas C.","Survey of viral haemorrhagic septicaemia virus in wild fishes in the southeastern Black Sea",2014,NA,"Karadeniz Technical University, Faculty of Marine Sciences, Surmene, Trabzon 61530, Turkey","2-s2.0-84901020144"
"232","Sanli A.E., Yilmaz O., Aytaç A., Mat M.D.","Investigation of the electro-oxidation of artificial Black Sea water using cyclic voltammetry on metal sulfide electrodes (I)",2014,2,"Turgut Ozal University, Engineering Faculty, Electric and Electronics Engineering Department, Ankara, Turkey; Gazi University, Faculty of Science, Department of Chemistry, Teknikokullar, Ankara, Turkey; Meliksah University, Kayseri, Turkey","2-s2.0-84899902296"
"233","Biersack J., O'Lear S.","The geopolitics of Russia's annexation of Crimea: Narratives, identity, silences, and energy",2014,7,"Department of Geography, University of Kansas, 1475 Jayhawk Boulevard, Lawrence, KS, United States","2-s2.0-84921550515"
"234","Kopelevich O., Burenkov V., Sheberstov S., Vazyulya S., Kravchishina M., Pautova L., Silkin V., Artemiev V., Grigoriev A.","Satellite monitoring of coccolithophore blooms in the Black Sea from ocean color data",2014,4,"Shirshov Institute of Oceanology, Russian Academy of Sciences (SIO RAS), Nakhimovsky Prospect 36, 117997 Moscow, Russian Federation; Southern Branch of the Shirshov Institute of Oceanology, Gelendjick, Russian Federation","2-s2.0-84899455213"
"235","Dubinin A.V., Dubinina E.O., Demidova T.P., Kokryatskaya N.M., Rimskaya-Korsakova M.N., Kosova S.A., Yakushev E.V.","Stable isotope evidence for the Bottom Convective Layer homogeneity in the Black Sea",2014,NA,"PP Shirshov Institute of Oceanology, Russian Academy of Sciences, Nahimovskiy prospect, 36, Moscow 117997, Russian Federation; Institute of Geology of Ore Deposits, Petrography, Mineralogy and Geochemistry, Russian Academy of Sciences, Staromonetniy per. 35, Moscow 119017, Russian Federation; University of Johannesburg, Auckland Park Kingsway Campus, P.O. Box 524, Johannesburg, South Africa; Institute of Environmental Problems of the North, Russian Academy of Sciences, nab. Severnoy Dviny, 23, Arkhangelsk 163000, Russian Federation; Norwegian Institute for Water Research, Gaustadalleen 21, Oslo No-0349, Norway","2-s2.0-84899492849"
"236","Bajo M., Ferrarin C., Dinu I., Umgiesser G., Stanica A.","The water circulation near the danube delta and the romanian coast modelled with finite elements",2014,3,"CNR - National Research Council of Italy, ISMAR - Institute of Marine Sciences, Castello 2737/f, 30122 Venice, Italy; CNR - National Research Council of Italy, IAMC - Institute for the Coastal Marine Environment, 90782 Oristano, Italy; National Institute of Marine Geology and Geoecology - GeoEcoMar, Bucharest, Romania; Coastal Research and Planning Institute, CORPI, Klaipeda University, H. Manto 84, 92294 Klaipeda, Lithuania","2-s2.0-84895789594"
"237","Tereshchenko N.N., Mirzoyeva N., Gulin S.B., Milchakova N.A.","Contemporary radioecological state of the North-western Black Sea and the problems of environment conservation",2014,NA,"Radiation and Chemical Biology Department, The A.O. Kovalevsky Institute of Biology of the Southern Seas, National Academy of Sciences of Ukraine (IBSS NAS of Ukraine), Ukraine; Laboratory of Phytoresources, IBSS NAS of Ukraine, 2, Nakhimov Avenue, Sevastopol 99011, Ukraine","2-s2.0-84897575719"
"238","Korobeinikov A.V., Mitiukov N.V., Ganzy Y.V.","Accuracy of manufacturing the Scythian arrow and its influence on the arrow's ballistic parameters",2014,NA,"Pushkinskaya st., 164-26., 426076, Izhevsk, Russian Federation; Izhevsk State Technical University, Studentcheskaya st., 7, 426000, Izhevsk, Russian Federation; Kama Institute of Humanitarian and Engineering Technologies, Vadim Sivkov st., 12, 426000, Izhevsk, Russian Federation","2-s2.0-84901657302"
"239","Dumitrache M.O., Kiss B., Dantas-Torres F., Latrofa M.S., D'Amico G., Sándor A.D., Mihalca A.D.","Seasonal dynamics of Rhipicephalus rossicus attacking domestic dogs from the steppic region of southeastern Romania",2014,4,"Department of Parasitology and Parasitic Diseases, University of Agricultural Sciences and Veterinary Medicine Cluj-Napoca, Calea Manastur 3-5, Cluj-Napoca 400372, Romania; Danube Delta National Institute for Research and Development, Strada Babadag 165, Tulcea 820112, Romania; Department of Immunology, Aggeu Magalhães Research Centre, Oswaldo Cruz Foundation, 50670420, Recife, Pernambuco, Brazil; Department of Veterinary Medicine, University of Bari, 70010 Valenzano, Bari, Italy","2-s2.0-84898417439"
"240","Karageorgis A.P., Gardner W.D., Mikkelsen O.A., Georgopoulos D., Ogston A.S., Assimakopoulou G., Krasakopoulou E., Oaie G., Secrieru D., Kanellopoulos T., Pagou K., Anagnostou C., Papathanassiou E.","Particle sources over the Danube River delta, Black Sea based on distribution, composition and size using optics, imaging and bulk analyses",2014,3,"Hellenic Centre for Marine Research, Institute of Oceanography, 46.7km Athens-Sounio Avenue, 19013 Anavyssos, Greece; Department of Oceanography, Texas A andM University, College Station, TX, United States; Sequoia Scientific, Inc., 2700 Richards Road, Suite 107, Bellevue, WA 98005, United States; University of Washington, School of Oceanography, Box 357940, Seattle, WA 98195, United States; National Institute of Marine Geology and Geoecology, 23-25, Dimitrie Onciul Street, RO 024053 Bucharest, Romania","2-s2.0-84893761823"
"241","Batchvarov K.N.","Clay Pipes and Smoking Paraphernalia from the Kitten Shipwreck, an Early Nineteenth-Century Black Sea Merchantman",2014,1,"Department of Anthropology, University of Connecticut, Groton, CT, 06340, United States","2-s2.0-84893740254"
"242","Nonova T., Tosheva Z.","Cesium and strontium in Black Sea macroalgae",2014,1,"Radiochemistry and Radioecology Department, Institute for Nuclear Research and Nuclear Energy, 72 Tzarigradsko Chaussee, Sofia 1784, Bulgaria; Faculty of Science, Technology and Communication, University of Luxembourg, 162 a av. de la Faïencerie, 1511 Luxembourg, Luxembourg","2-s2.0-84890884547"
"243","Pakhomova S., Vinogradova E., Yakushev E., Zatsepin A., Shtereva G., Chasovnikov V., Podymov O.","Interannual variability of the Black Sea Proper oxygen and nutrients regime: The role of climatic and anthropogenic forcing",2014,11,"P.P. Shirshov Institute of Oceanology RAS, Nakhimovski Prosp., 36, 117997 Moscow, Russian Federation; Norwegian Institute for Water Research, Gaustadalléen 21, NO-0349 Oslo, Norway; F. Nansen Institute of Oceanology BAS, First May Street 40, P.O. Box 152, Varna 9000, Bulgaria; Southern Branch of the P.P. Shirshov Institute of Oceanology RAS, Golubaya bukhta, 353470 Gelendjik-7, Russian Federation","2-s2.0-84896493315"
"244","Bayrak Ö., Önem K., Seçkiner I., Sirtbas A., Erturhan S., Asçi R., Sen H., Büyükalpelli R., Erbagci A., Germiyanoglu C., Yagci F.","Comparison of demographic data in patients undergoing Percutaneous Nephrolithotomy in Southeastern Anatolia and the Black Sea region: A multicenter study",2014,NA,"Department of Urology, Gaziantep University, Gaziantep, Turkey; Department of Urology, Ondokuz Mayis University, Samsun, Turkey","2-s2.0-84897854028"
"245","Kaya Ozer C.","Calcareous nannofossil assemblage changes and stable isotope data from Maastrichtian to Selandian in the Akveren Formation, Western Black Sea, Turkey",2014,2,"Department of Geological Engineering, Bozok University, Atatürk Road, Yozgat, Turkey","2-s2.0-84896731372"
"246","Mikaelyan A.S., Malej A., Shiganova T.A., Turk V., Sivkovitch A.E., Musaeva E.I., Kogovšek T., Lukasheva T.A.","Populations of the red tide forming dinoflagellate Noctiluca scintillans (Macartney): A comparison between the Black Sea and the northern Adriatic Sea",2014,6,"Institute of Oceanology RAS, Nakhimovsky prosp., 36, Moscow 117997, Russian Federation; National Institute of Biology, Marine Biological Station Piran, Fornace 41, 6330 Piran, Slovenia; Southern Branch of P.P.Shirshov Institute of Oceanology RAS, Prospornaya str. 1, Gelendzhik 353470, Russian Federation","2-s2.0-84894502163"
"247","Capet A., Troupin C., Carstensen J., Grégoire M., Beckers J.-M.","Untangling spatial and temporal trends in the variability of the Black Sea Cold Intermediate Layer and mixed Layer Depth using the DIVA detrending procedure",2014,2,"Department of Astrophysics, Geophysics and Oceanography (AGO), GeoHydrodynamics and Environment Research (GHER), Université de Liège, Allée du 6-Août, 17, Sart-Tilman B5a, 4000 Liège, Belgium; TMOOS Department, IMEDEA (CSIC-UIB), Esporles Balearic Islands, Spain; Department of Bioscience, Aarhus University, Frederiksborgvej 399, 4000 Roskilde, Denmark; Department of Biology, Ecology and Evolution, Oceanology Laboratory, Université de Liège, Allée de la Chimie, 3, Sart-Tilman B6c, 4000 Liège, Belgium","2-s2.0-84896723477"
"248","Knudsen S.","Multiple sea snails: The uncertain becoming of an alien species",2014,3,"University of Bergen, Norway","2-s2.0-84894261807"
"249","Gul O., Dervisoglu M.","Occurrence of aflatoxin M1 in vacuum packed kashar cheeses in Turkey",2014,3,"Program of Food Technology, Terme Vocational School, Ondokuz Mayis University, Samsun, Turkey; Department of Food Engineering, Engineering Faculty, Ondokuz Mayis University, Samsun 55139, Turkey","2-s2.0-84885659481"
"250","Körber J.-H., Sahling H., Pape T., dos Santos Ferreira C., MacDonald I., Bohrmann G.","Natural oil seepage at Kobuleti Ridge, eastern Black Sea",2014,5,"MARUM - Center for Marine Environmental Sciences and Department of Geosciences, University of Bremen, Klagenfurter Str., 28359 Bremen, Germany; Florida State University, Department of Oceanography, 117N Woodward Avenue, P.O. Box 3064320, Tallahassee, FL 32306-4320, United States","2-s2.0-84890233294"
"251","Akçar N., Yavuz V., Ivy-Ochs S., Reber R., Kubik P.W., Zahno C., Schlüchter C.","Glacier response to the change in atmospheric circulation in the eastern Mediterranean during the Last Glacial Maximum",2014,14,"University of Bern, Institute of Geological Sciences, Baltzerstrasse 1-3, 3012 Bern, Switzerland; Istanbul Technical University, Faculty of Mines, 80626 Maslak, Istanbul, Turkey; ETH Zurich, Laboratory of Ion Beam Physics (LIP), 8093 Zurich, Switzerland; Sunnebergliweg 6, 6403 Küssnacht, Switzerland","2-s2.0-84888836429"
"252","Ceylan Y., Sahin C., Kalayci F.","Bottom trawl fishery discards on the Black Sea coast of Turkey",2014,NA,"Recep Tayyip Erdogan University, Faculty of Fisheries, 53100, Turkey","2-s2.0-84893065015"
"253","Kasapoglu N., Duzgunes E.","Length-weight relationships of marine species caught by five gears from the Black Sea",2014,1,"Central Fisheries Research Institute, Vali Adil Yazar Cad. No:14 Kasustu, 61250 Trabzon, Turkey; Karadeniz Technical University, Faculty of Marine Science, 61530, Trabzon, Turkey","2-s2.0-84893128897"
"254","Tepe Y., Oguz M.C., Heckmann R.A.","Digenean and cestode parasites of teleost fish from the Eastern Black sea region",2014,2,"Department of Biology, Atatürk University, Erzurum, Turkey; Department of Biology, Brigham Young University, Provo, UT, United States","2-s2.0-84892546790"
"255","Yildiz I., Feyzioglu A.M.","Biological diversity and seasonal variation of mesozooplankton in the southeastern black sea coastal ecosystem",2014,NA,"Karadeniz Technical University, Trabzon, Turkey","2-s2.0-84892555115"
"256","Sanchi L., Ménot G., Bard E.","Insights into continental temperatures in the northwestern Black Sea area during the Last Glacial period using branched tetraether lipids",2014,4,"Aix-Marseille Université, CNRS, IRD, Collège de France, CEREGE UM34, 13545 Aix en Provence, France","2-s2.0-84890201522"
"257","D'Antuono L.F., Fedosova K., Mudryk M., Boyko N., Kolesnov A., Jorjadze M., Bignami C.","Cornelian cherry: An important local resource and promising health promoting fruit plant of the black sea area",2014,NA,"Campus of Food Science Cesena, University of Bologna, Italy; Odessa National Academy of Food Technologies, Odessa, Ukraine; Uzhhorod National University, Uzhhorod, Ukraine; Moscow State University of Food Productions, Moscow, Russian Federation; ELKANA, Biological Farming Association, Tbilisi, Georgia; University of Modena and Reggio Emilia, Italy","2-s2.0-84892777751"
"258","Sancay R.H.","The occurrence of mediaverrunites in the upper miocene of the black sea, Turkey",2014,1,"Turkish Petroleum Corporation Research Centre, Sögütözü, Mah., 2180. Cad. No. 86 06100, Çankaya-Ankara, Turkey","2-s2.0-84899586720"
"259","Zoran L.F.V., Dida A.I., Zoran M.A.","Monitoring land use/cover changes on the Romanian Black Sea Coast",2014,NA,"University Politechnica of Bucharest, Bucharest, Romania; University Transilvania of Brasov, Romania; National Institute of R and D for Optoelectronics, Remote Sensing Dept., MG5 Bucharest-Magurele, Romania","2-s2.0-84923096810"
"260","Stoica C., Gheorghe S., Petre J., Lucaciu I., Nita-Lazar M.","Tools for assessing Danube Delta systems with macro invertebrates",2014,2,"National Research and Development Institute for Industrial Ecology-ECOIND, 71-73 Drumul Podu Dambovitei, Bucharest, Romania; University of Bucharest, Department of Systemic Ecology and Sustainability, 91-95 Splaiul Independentei, Bucharest, Romania","2-s2.0-84932623460"
"261","Schneider E.","Aspects of wetland habitat restoration and monitoring in the danube delta: Water macrophytes as quality indicators in evaluation processes",2014,2,"KIT-Institute for Technology, University of the Federal State of Baden, Württemberg and National Research Center of the Helmholtz Association, Josefstr. 1, 76437 Rastatt, Germany","2-s2.0-84904498201"
"262","Stoica C., Gheorghe S., Lucaciu E.I., Stanescu E., Paun C.I., Niculescu L.D.","The Impact of Chemical Compounds on Benthic Invertebrates from the Danube and Danube Delta Systems",2014,NA,"National Research and Development Institute for Industrial Ecology (ECOIND), Control Pollution Department, Bucharest, Romania","2-s2.0-84895745579"
"263","Mierla M., Nichersu I., Trifanov C., Nichersu I., Marin E., Sela F.","Links between selected environmental components and flood risk in the danube delta",2014,1,"Danube Delta National Institute for Research and Development, 165 Babadag Street, Tulcea 820112, Romania","2-s2.0-84904513208"
"264","Elizbarashvili M., Mtsariashvili M.L., Kekelidze N., Jakhutashvili T., Tulashvili E., Mirtskhulava M., Berishvili Z.","Temporal and spatial distribution of radioactivity in the soil of the black sea coast in the supsa-natanebi interfluvial region (Georgia)",2014,NA,"Iv. Javakhishvili Tbilisi State University, Georgia; F. Tavadze Institute of Metallurgy and Materials Science, Georgia; National Center for Disease Control and Public Health (NCDC), Georgia","2-s2.0-84946569144"
"265","Kalayci F., Yesilçiçek T.","Effects of depth, Season and mesh size on the catch and discards of whiting (merlangius merlangus euxinus) gillnet fishery in the southern black sea, Turkey [Güney karadeniz’de derinlik, Mevsim ve ag göz açikliginin mezgit (merlangius merlangus euxinus) solungaç agi avciliginda av ve iskarta üzerine etkisi]",2014,NA,"Recep Tayyip Erdogan University, Rize, Turkey","2-s2.0-84907857883"
"266","Shaltout M., Omstedt A.","Recent precipitation trends and future scenarios over the mediterranean sea [Recentni trendovi oborine i buduci scenariji nad Sredozemnim morem]",2014,NA,"University of Alexandria, Department of Oceanography, Alexandria, Egypt; University of Gothenburg, Department of Earth Sciences, Gothenburg, Sweden","2-s2.0-84922059224"
"267","Panayotova M., Marinova V., Raykov V., Stefanova K., Shtereva G., Krastev A.","Pilot acoustic study of fish stocks distribution in the Northern Bulgarian Black Sea area",2014,2,"Institute of Oceanology, Bulgarian Academy of Sciences, P.O.Box 152, 40, Parvi may St, 9000 Varna, Bulgaria","2-s2.0-84905109281"
"268","Gedik K., Boran M., Alkan N.","Determination of oil and domestic pollution indicators on the southeastern Black Sea coastal water",2014,NA,"Karadeniz Technical University, Department of Fisheries Technology Engineering, 61530 Sürmene, Trabzon, Turkey","2-s2.0-84904498303"
"269","Yalcin E., Kilinc M., Kutbay H.G., Bilgin A., Korkmaz H.","The lowland meadow vegetation of the central black sea region of Turkey [Türkiye'nin orta karadeniz bölgesinde düsük raki{dotless}mli{dotless} düzlük alanlari{dotless}n çayi{dotless}r vejetasyonu]",2014,2,"Ondokuz Mayis University, Department of Biology, 55139 Kurupelit-Samsun, Turkey; Recep Tayyip Erdogan University, Department of Biology, 53100 Rize, Turkey","2-s2.0-84906656867"
"270","Stancheva M., Makedonski L., Peycheva K.","Determination of heavy metal concentrations of most consumed fish species from Bulgarian Black Sea coast",2014,2,"Department of Chemistry, Medical University, 55 Marin Drinov, Str., 9002 Varna, Bulgaria","2-s2.0-84897129912"
"271","Strokal M.P., Kroeze C., Kopilevych V.A., Voytenko L.V.","Reducing future nutrient inputs to the Black Sea",2014,5,"Environmental Systems Analysis Group, Wageningen University, Droevendaalsesteeg 4, 6708 PB Wageningen, Netherlands; Analytical and Bio-inorganic Chemistry Department, National University of Life and Environmental Sciences of Ukraine, Heroyiv Oborony 15, 03041 Kiev, Ukraine; School of Science, Open University of the Netherland, Valkenburgerweg 177, 6419 AT Heerlen, Netherlands","2-s2.0-84881226676"
"272","Sartor P., Colloca F., Maravelias C., Maynou F.","Critical assessment of the current understanding/ knowledge of the framework of the ecosystem approach to fisheries in the Mediterranean and Black seas [Evaluación crítica de la comprensión y del conocimiento actuales en el contexto de una aproximación ecosistémica a la gestión pesquera en el Mar Mediterráneo y el Mar Negro]",2014,2,"CIBM Consorzio per il Centro Interuniversitario di Biologia Marina ed Ecologia Applicata, Viale Nazario Sauro 4, 57128 Livorno, Italy; CNR-IAMC Istituto per l'Ambiente Marino Costiero, Sede di Mazara del Vallo, V. L. Vaccara 61, 91026 Mazara del Vallo (TP), Italy; HCMR Hellenic Centre for Marine Research, Institute of Marine Biological Resources, PO Box 2214, GR 71003, Iraklion, Greece; Institut de Ciències del Mar, CSIC, Psg Marítim de la Barceloneta 37-49, 08003-Barcelona, Spain","2-s2.0-84897930305"
"273","Özer A., Güneydag S.","First report of some parasites from Mediterranean mussel, Mytilus galloprovincialis Lamarck, 1819, collected from the Black Sea coast at Sinop",2014,2,"Sinop University, Sinop, Turkey","2-s2.0-84901034758"
"274","Yankova M., Pavlov D., Ivanova P., Karpova E., Boltachev A., Öztürk B., Bat L., Oral M., Mgeladze M.","Marine fishes in the Black Sea: Recent conservation status",2014,1,"Institute of Oceanology, BAS, First of May St., P. O. Box: 152, 9000, Varna, Bulgaria; Society of Innovative Ecologists in Bulgaria, Dr. Bassanovich St., No. 10, 9010, Varna, Bulgaria; Institute of Biology of Southern Seas, Sevastopol, Nakhimov av., 99011, Sevastopol, Ukraine; Faculty of Fisheries, Istanbul University, Ordu St., No: 200, 34470, Laleli, Istanbul, Turkey; Faculty of Fisheries, Sinop University, 57000, Sinop, Turkey; Water Ecology and Fisheries Laboratory, National Environmental Agency, Agmashenebeli, Tbilisi, 0112, Georgia","2-s2.0-84904053770"
"275","Balycheva D.S.","Seasonal quantitative dynamics of periphyton bacillariophyta on experimental glass Slides exposed monthly in a coastal seawater area of the Crimea *",2014,NA,"A.O. Kovalevsky Institute of Biology of the Southern Seas, NAS of Ukraine, 2, Nakhimov Ave, Sevastopol 99011, Ukraine","2-s2.0-84905059827"
"276","Bubnova E.N.","Fungi of the blue bay (black sea, eastern coast near the town of gelendzhik)",2014,1,"Lomonosov Moscow State University, Russian Federation","2-s2.0-84948991378"
"277","Kleiva Z., Urbšys A., Aniuliene A., žymantiene J., Maciulskis P., Pockevicius A.","Investigation of blood parameters of the black sea dolphins (Tursiops truncatus ponticus) kept at the Lithuanian Sea Museum",2014,NA,"Department of Infectious Diseases, Veterinary Academy, Lithuanian University of Health Sciences, Tilžes 18, LT-47181 Kaunas, Lithuania; Department of Anatomy and Physiology, Veterinary Academy, Lithuanian University of Health Sciences, Tilžes 18, LT-47181 Kaunas, Lithuania; Institute of Animal Husbandry, Lithuanian University of Health Sciences, Tilžes 18, LT-47181 Kaunas, Lithuania","2-s2.0-84897371981"
"278","Ioakeimidis C., Zeri C., Kaberi H., Galatchi M., Antoniadis K., Streftaris N., Galgani F., Papathanassiou E., Papatheodorou G.","A comparative study of marine litter on the seafloor of coastal areas in the Eastern Mediterranean and Black Seas",2014,6,"Hellenic Centre for Marine Research, Institute of Oceanography, Anavyssos, Greece; Laboratory of Marine Geology and Physical Oceanography, Department of Geology, University of Patras, Patras, Greece; National Inst. for Marine Research and Development Grigore Antipa Constanta Romania, Blvd Mamaia No. 300, Constanta 3, Romania; Department of Fisheries and Marine Research, Marine Environmental Division, Nicosia, Cyprus; Institut Français de Recherche pour l'Exploitation de la Mer, LER/PAC/Corse, Imm. Agostini, ZI Furiani, Bastia, France","2-s2.0-84914117877"
"279","Gulin S.B., Gulina L.V., Sidorov I.G., Proskurnin V., Duka M.S., Moseichenko I.N., Rodina E.A.","40K in the Black Sea: A proxy to estimate biogenic sedimentation",2014,2,"Department of Radiation and Chemical Biology, A.O. Kovalevskiy Institute of Biology of the Southern Seas (IBSS), National Academy of Sciences of Ukraine, 2, Nakhimov Av., Sevastopol 99011, Autonomous Republic of Crimea, Ukraine","2-s2.0-84896049682"
"280","Özer A., Öztürk T., Kornyushin V.V., Kornyychuk Y., Yurakhno V.","Grillotia erinaceus (van Beneden, 1858) (Cestoda:Trypanorhyncha) from whiting in the Black Sea, with observations on seasonality and host-parasite interrelationship",2014,3,"Sinop University, 57000 Sinop, Turkey; I. I. Schmalhausen Institute of Zoology, 15 Khmelnitsky Str., 01601 Kiev, Ukraine; Institute of Biology of the Southern Seas, 2 Nakhimov Av., Sevastopol, 99011 Crimea, Ukraine","2-s2.0-84927687408"
"281","Irikov A., Mollov I.","Overseas dispersal of shells of terrestrial snails (Gastropoda: Pulmonata) on the Bulgarian Black Sea coast",2014,NA,"Department of Ecology and Environmental Conservation, Faculty of Biology, University of Plovdiv, 24 Tsar Assen Street, Plovdiv, Bulgaria","2-s2.0-84919767791"
"282","Boltachev A.R., Karpova E.P.","Faunistic revision of alien fish species in the Black Sea",2014,2,"Kovalevsky Institute of Biology of the Southern Seas, pr. Nakhimova 2, Sevastopol, Russian Federation","2-s2.0-84919907689"
"283","Tiron Dutu L., Provansal M., Le Coz J., Dutu F.","Contrasted sediment processes and morphological adjustments in three successive cutoff meanders of the Danube delta",2014,2,"INCD GEOECOMAR, 23-25 Dimitrie Onciul Street, RO-024053 Bucharest, Romania; UMR 6635, CEREGE-CNRS, Europôle Méditerranéen de l'Arbois, 13545, BP 80, Aix-en-Provence, Cedex 04, France; Irstea, UR HHLY, Hydrology-Hydraulics, 5 rue de la Doua, 69100 Villeurbanne Cedex 9, France","2-s2.0-84887241516"
"284","Kushnir O.","From the BSU to the BSEC: Evaluating interwar geopolitical fantasies",2014,NA,"Lazarski University, Poland","2-s2.0-84924961601"
"285","Fach B.A.","Modeling the influence of hydrodynamic processes on anchovy distribution and connectivity in the black sea [Karadeniz'deki hamsi dagilimi ve bölgeler arasi baglantisi üzerine hidrodinamik proseslerin etkisinin modellenmesi]",2014,NA,"Institute of Marine Sciences, Middle East Technical University, PO Box 28, Erdemli, Turkey","2-s2.0-84907859470"
"286","Delanoe I.","After the Crimean crisis: towards a greater Russian maritime power in the Black Sea",2014,4,"Center for International and European Studies, Kadir Has University, Istanbul, Turkey","2-s2.0-84908270086"
