"","Authors","Title","Year","Cited.by","Affiliations","EID"
"60","Olosutean H.","An albino water strider (Hemiptera: Gerridae) from the Danube Delta",2015,NA,"University of Sibiu, Department of Environmental Sciences, Applied Ecology Research Centre, 5-7th, Dr. I. Ratiu str., Sibiu, Romania","2-s2.0-84923011922"
"61","Tudor I.-M., Deák G.Y., Tudor M.","Zooplankton distribution and dynamics in a Gorgova-Uzlina, Sontea-Furtuna, Rosu-Puiu and Matita-Merhei complex of lakes from the Danube Delta - Romania",2015,NA,"Danube Delta National Institute for Research and Development, 165 Babadag Street, Tulcea, Romania; National Institute for Research and Development in Environment Protection, Bucharest, Romania","2-s2.0-84946819814"
"62","Pacesila I.","Benthic microbial biomass dynamics in aquatic ecosystems of the Danube Delta",2015,NA,"Institute of Biology, Romanian Academy, Romania","2-s2.0-84935459014"
"63","Romanescu G., Bounegru O., Stoleriu C.C., Mihu-Pintilie A., Nicu C.I., Enea A., Stan C.O.","The ancient legendary island of PEUCE - myth or reality?",2015,1,"Alexandru Ioan Cuza University of Iasi, Faculty of Geography and Geology, Department of Geography, Bd.Carol I 20A, Iasi, Romania; Alexandru Ioan Cuza University of Iasi, Faculty of History, Bd.Carol I 11, Iasi, Romania; Alexandru Ioan Cuza University of Iasi, Faculty of Geography and Geology, Department of Geology, Bd.Carol I 20A, Iasi, Romania; Romanian Academy, Department of Iasi, Geography Group, 8 Carol I Blvd., Iasi, Romania","2-s2.0-84918767761"
"64","Begy R.-C., Simon H., Kelemen S., Reizer E., Preoteasa L.","Determination of sedimentation rates of a northern Danube Delta lake by 210Pb method",2015,NA,"Babes-Bolyai University, Faculty of Environmental Sciences and Engineering, Cluj-Napoca, Romania; University of Bucharest, Faculty of Geography, Bucharest, Romania","2-s2.0-84949437362"
"65","Vaidianu N., Tofan L., Braghina C., Schvab A.","Legal and institutional framework for integrated governance in a Biosphere reserve",2015,NA,"Interdisciplinary Centre for Advanced Research on Territorial Dynamics, University of Bucharest, 4-12 Regina Elisabeta Street, Bucharest, Romania; Faculty of Natural and Agricultural Sciences, Ovidius University, Constanta, Romania","2-s2.0-84946749096"
"66","Kasapoglu N., Duzgunes E.","Otolith atlas for the black sea",2015,NA,"Central Fisheries Research Institute, Vali Adil Yazar Cad. No 14, Yomra, Trabzon, Turkey; Faculty of Marine Science, Karadeniz Technical University, Camburnu, Trabzon, Turkey","2-s2.0-84946748819"
"67","Uzunova S.","Recent changes of zoobenthos communities from the region Cape Kaliakra-Cape Galata (the black sea)",2015,NA,"Institute of Fish Resources, Varna, Bulgaria","2-s2.0-84959084810"
"68","Mierla M., Romanescu G., Nichersu I., Grigoras I.","Hydrological risk map for the danube delta-a case study of floods within the fluvial delta",2015,1,"Department of Geography, Faculty of Geography and Geology, University of Iasi, Iasi, Romania; Danube Delta National Institute for Research and Development, Tulcea, Romania","2-s2.0-84928779470"
"69","Vaidianu N., Paraschiv M., Saghin I., Braghina C.","Social-ecological consequences of planning and development policies in the Danube Delta biosphere reserve, Romania",2015,1,"University of Bucharest, Interdisciplinary Center for Advanced Research on Territorial Dynamics (CICADIT), 4-12 Regina Elisabeta Blv, Bucharest, Romania","2-s2.0-84945915797"
