"X","Authors","Title","Year","Cited.by","Affiliations","EID","Affiliations2","City","County","CountyCode"
522,"Stoica C., Stanescu E., Lucaciu I., Gheorghe St., Nicolau M.","Influence of global change on biological assemblages in the Danube delta",2013,6,"National Research and Development Institute for Industrial Ecology - ECOIND, 71-73 Drumul Podu Dambovitei Street, 060 652 Bucharest - 6, Romania","2-s2.0-84883499912","national research and development institute for industrial ecology - ecoind, 71-73 drumul podu dambovitei street, 060 652 bucharest - 6, romania","Bucharest","Bucuresti","B"
524,"Stanescu E., Stoica C., Vasile G., Petre J., Gheorghe S., Paun I., Lucaciu I., Nicolau M., Vosniakos F., Vosniakos K., Golumbeanu M.","Structural Changes of Biological Compartments in Danube Delta Systems Due to Persistent Organic Pollutants and Toxic Metals",2013,NA,"National Research and Development Institute for Industrial Ecology, 71-73 Drumul Podu Dambovitei, Bucharest, 060652, Romania","2-s2.0-84883382461","national research and development institute for industrial ecology, 71-73 drumul podu dambovitei, bucharest, 060652, romania","Bucharest","Bucuresti","B"
524,"Stanescu E., Stoica C., Vasile G., Petre J., Gheorghe S., Paun I., Lucaciu I., Nicolau M., Vosniakos F., Vosniakos K., Golumbeanu M.","Structural Changes of Biological Compartments in Danube Delta Systems Due to Persistent Organic Pollutants and Toxic Metals",2013,NA,"National Institute of Marine Research and Development Grigore Antipa (NIMRD), 300 Mamaia Bd., 900581 Constanta, Romania","2-s2.0-84883382461","national institute of marine research and development grigore antipa (nimrd), 300 mamaia bd., 900581 constanta, romania","Constanta","Constanta","CT"
526,"Dobrinas S., Culea A.","Analysis of Organochlorine Pesticides in Black Sea Sediments",2013,NA,"Department of Chemistry and Chemical Engineering, Ovidius University of Constanta, 124 Mamaia Blvd, 900527 Constanta, Romania","2-s2.0-84883330329","department of chemistry and chemical engineering, ovidius university of constanta, 124 mamaia blvd, 900527 constanta, romania","Constanta","Constanta","CT"
538,"Munteanu I., Willingshofer E., Sokoutis D., Matenco L., Dinu C., Cloetingh S.","Transfer of deformation in back-arc basins with a laterally variable rheology: Constraints from analogue modelling of the Balkanides-Western Black Sea inversion",2013,6,"University of Bucharest, Faculty of Geology and Geophysics, 6 Traian Vuia, Bucharest, Romania","2-s2.0-84881117171","university of bucharest, faculty of geology and geophysics, 6 traian vuia, bucharest, romania","Bucharest","Bucuresti","B"
540,"Vignati D.A.L., Secrieru D., Bogatova Y.I., Dominik J., C<e9>r<e9>ghino R., Berlinsky N.A., Oaie G., Szobotka S., Stanica A.","Trace element contamination in the arms of the Danube Delta (Romania/Ukraine): Current state of knowledge and future needs",2013,1,"National Institute of Marine Geology and Geoecology - GeoEcoMar, 23-25 Dimitrie Onciul Street, 024053 Bucharest, Romania","2-s2.0-84877315248","national institute of marine geology and geoecology - geoecomar, 23-25 dimitrie onciul street, 024053 bucharest, romania","Bucharest","Bucuresti","B"
543,"Stanciugelu S., Taranu A., Rusu I.","Toward a Black Sea community taking the advantages of hydrogen economy-energy",2013,NA,"National School for Political Sciences and Administration, Str. Povernei nr. 6, Sector I, Bucharest, Romania","2-s2.0-84880687199","national school for political sciences and administration, str. povernei nr. 6, sector i, bucharest, romania","Bucharest","Bucuresti","B"
543,"Stanciugelu S., Taranu A., Rusu I.","Toward a Black Sea community taking the advantages of hydrogen economy-energy",2013,NA,"Gheorghe Asachi Technical University of Iasi, 73 Prof.dr.docent D. Mangeron, 700050, Iasi, Romania","2-s2.0-84880687199","gheorghe asachi technical university of iasi, 73 prof.dr.docent d. mangeron, 700050, iasi, romania","Iasi","Iasi","IS"
544,"Jitar O., Teodosiu C., Nicoara M., Plavan G.","Study of heavy metal pollution and bioaccumulation in the Black Sea living environment",2013,4,"Gheorghe Asachi Technical University of Iasi, Department of Environmental Engineering and Management, 73 Prof. Dr. Docent D. Mangeron Street, 700050, Iasi, Romania","2-s2.0-84880662312","gheorghe asachi technical university of iasi, department of environmental engineering and management, 73 prof. dr. docent d. mangeron street, 700050, iasi, romania","Iasi","Iasi","IS"
544,"Jitar O., Teodosiu C., Nicoara M., Plavan G.","Study of heavy metal pollution and bioaccumulation in the Black Sea living environment",2013,4,"Alexandru Ioan Cuza University of Iasi, Department of Biology, 700506, Iasi, Romania","2-s2.0-84880662312","alexandru ioan cuza university of iasi, department of biology, 700506, iasi, romania","Iasi","Iasi","IS"
545,"Rugescu R.D., Monea V.","Surface corridor requirements for space launches over the black sea",2013,NA,"University Politehnica of Bucharest, Romania","2-s2.0-84880153742","university politehnica of bucharest, romania","Bucharest","Bucuresti","B"
546,"Rugescu D.R.","Environmental issues regarding space launches over the black sea",2013,NA,"University Politehnica of Bucharest, Romania","2-s2.0-84880180678","university politehnica of bucharest, romania","Bucharest","Bucuresti","B"
557,"Vuta L.I., Dumitran G.E.","Assessment of water quality at the Romanian black sea shore",2013,3,"Department of Hydraulic, Hydraulic Machines and Environmental Engineering, University POLITEHNICA of Bucharest, Romania","2-s2.0-84878404037","department of hydraulic, hydraulic machines and environmental engineering, university politehnica of bucharest, romania","Bucharest","Bucuresti","B"
563,"Catianis I., Radan S., Grosu D.","Distribution of lithological components of recent sediments from some lakes in the danube delta; environmental significance",2013,3,"University of Bucharest, Faculty of Geology and Geophysics, 6 Traian Vuia St.,, RO-70139, Bucharest, Romania","2-s2.0-84878185549","university of bucharest, faculty of geology and geophysics, 6 traian vuia st.,, ro-70139, bucharest, romania","Bucharest","Bucuresti","B"
563,"Catianis I., Radan S., Grosu D.","Distribution of lithological components of recent sediments from some lakes in the danube delta; environmental significance",2013,3,"National Institute of Marine Geology and Geoecology-GeoEcoMar, 23-25 Dimitrie Onciul St.,, RO-024053,Bucharest, Romania","2-s2.0-84878185549","national institute of marine geology and geoecology-geoecomar, 23-25 dimitrie onciul st.,, ro-024053,bucharest, romania","Bucharest","Bucuresti","B"
574,"Raykov V.St., Panayotova M., Radu Gh., Maximov V., Anton E., Nicolaev S.","International pelagic trawl survey in the EU waters of the black sea, June 2010",2013,1,"'G. Antipa' NIMRD, 300 Mamaia Blvd., RO-900 581 Constanta 3, Romania","2-s2.0-84876497780","'g. antipa' nimrd, 300 mamaia blvd., ro-900 581 constanta 3, romania","Constanta","Constanta","CT"
583,"Lericolais G., Bourget J., Popescu I., Jermannaud P., Mulder T., Jorry S., Panin N.","Late Quaternary deep-sea sedimentation in the western Black Sea: New insights from recent coring and seismic data in the deep basin",2013,13,"GeoEcoMar, 23-25 Dimitrie Onciul Street, RO-024053 Bucharest, Romania","2-s2.0-84878215387","geoecomar, 23-25 dimitrie onciul street, ro-024053 bucharest, romania","Bucharest","Bucuresti","B"
588,"Poncos V., Teleaga D., Bondar C., Oaie G.","A new insight on the water level dynamics of the Danube Delta using a high spatial density of SAR measurements",2013,6,"Advanced Studies and Research Center, 4 Verii Street, 020723 Bucharest, Romania","2-s2.0-84873569158","advanced studies and research center, 4 verii street, 020723 bucharest, romania","Bucharest","Bucuresti","B"
588,"Poncos V., Teleaga D., Bondar C., Oaie G.","A new insight on the water level dynamics of the Danube Delta using a high spatial density of SAR measurements",2013,6,"National Research and Development Institute for Marine Geology and Geoecology, 23-25 Dimitrie Onciul Street, 024053 Bucharest, Romania","2-s2.0-84873569158","national research and development institute for marine geology and geoecology, 23-25 dimitrie onciul street, 024053 bucharest, romania","Bucharest","Bucuresti","B"
592,"Croitoru A.-E., Chiotoroiu B.-C., Ivanova Todorova V., Torica V.","Changes in precipitation extremes on the Black Sea Western Coast",2013,10,"Babes-Bolyai University, Faculty of Geography, Physical and Technical Geography Department, Climate Research Group, 5-7, Clinicilor Street, 400006, Cluj-Napoca, Romania","2-s2.0-84873907888","babes-bolyai university, faculty of geography, physical and technical geography department, climate research group, 5-7, clinicilor street, 400006, cluj-napoca, romania","Cluj Napoca","Cluj","CJ"
592,"Croitoru A.-E., Chiotoroiu B.-C., Ivanova Todorova V., Torica V.","Changes in precipitation extremes on the Black Sea Western Coast",2013,10,"Constanta Maritime University, 104, Mircea cel Batr<U+653C><U+3E32>n, 900663, Constanta, Romania","2-s2.0-84873907888","constanta maritime university, 104, mircea cel batr<U+653C><U+3E32>n, 900663, constanta, romania","Constanta","Constanta","CT"
592,"Croitoru A.-E., Chiotoroiu B.-C., Ivanova Todorova V., Torica V.","Changes in precipitation extremes on the Black Sea Western Coast",2013,10,"National Meteorological Administration, Regional Weather Forecasting Centre Constanta, 300 Mamaia, 900581 Constanta, Romania","2-s2.0-84873907888","national meteorological administration, regional weather forecasting centre constanta, 300 mamaia, 900581 constanta, romania","Constanta","Constanta","CT"
602,"Valette P., Carozza L., Micu C., Carozza J.-M., Stanica A., Burens A.","Approach geohistorical binding of Babadag Lake with Lake Razim through the analysis of old maps [Approche geohistorique de la liaison du lac de Babadag avec le lac de Razim a travers l'analyse des cartes anciennes]",2013,NA,"Institutul de Cercetari Eco-Muzeale, Str. Progresului,nr. 32, 820009, Tulcea, Romania","2-s2.0-84904092192","institutul de cercetari eco-muzeale, str. progresului,nr. 32, 820009, tulcea, romania","Tulcea","Tulcea","TL"
605,"Talmatchi G.M.","New possible approach on the significance of ""arrowhead""- shaped monetary signs especially cast for trade purposes",2013,NA,"Muzeul de Istorie Nationala si Arheologie, Piata Ovidiu, nr. 12, 900745, Constanta, Romania","2-s2.0-84904112028","muzeul de istorie nationala si arheologie, piata ovidiu, nr. 12, 900745, constanta, romania","Constanta","Constanta","CT"
616,"B<ee>rzescu I.","An Early Classical torso from the temple zone of Histria [Ein fr<fc>hklassischer Torso aus der Tempelzone von Histria]",2013,NA,"Vasile P<U+653C><U+3E32>rvan, Arch<U+653C><U+3E34>ologisches Institut der Rum<U+653C><U+3E34>nischen Akademie, Bukarest, Romania","2-s2.0-84959496173","vasile p<U+653C><U+3E32>rvan, arch<U+653C><U+3E34>ologisches institut der rum<U+653C><U+3E34>nischen akademie, bukarest, romania","Bucharest","Bucuresti","B"
622,"Ianos I., Stoica I.-V., Talanga C., Vaidianu N.","Politics of tourism development in Danube Delta biosphere reserve",2012,2,"University of Bucharest, CICADIT (The Interdisciplinary Centre for Advanced Researches on Territorial Dynamics), Romania","2-s2.0-84890770609","university of bucharest, cicadit (the interdisciplinary centre for advanced researches on territorial dynamics), romania","Bucharest","Bucuresti","B"
623,"Ivan A., Gasparotti C., Rusu E.","Influence of the interactions between waves and currents on the navigation at the entrance of the Danube Delta",2012,13,"Dunarea de Jos' University, Galati, Romania","2-s2.0-84873280941","dunarea de jos' university, galati, romania","Galati","Galati","GL"
628,"Oros A., Gomoiu M.-T.","A review of metal bioaccumulation levels in the Romanian black sea biota during the last decade -a requirement for implementing marine strategy framework directive (descriptors 8 and 9)",2012,7,"Grigore Antipa National Institute for Marine Research and Development (NIMRD), 300 Mamaia Blvd, 900 581 Constanta 3, Romania","2-s2.0-84873315429","grigore antipa national institute for marine research and development (nimrd), 300 mamaia blvd, 900 581 constanta 3, romania","Constanta","Constanta","CT"
628,"Oros A., Gomoiu M.-T.","A review of metal bioaccumulation levels in the Romanian black sea biota during the last decade -a requirement for implementing marine strategy framework directive (descriptors 8 and 9)",2012,7,"National Institute for Geology and Marine Geoecology Research and Development (GEOECOMAR), 304 Mamaia Blvd, 900 581 Constanta, Romania","2-s2.0-84873315429","national institute for geology and marine geoecology research and development (geoecomar), 304 mamaia blvd, 900 581 constanta, romania","Constanta","Constanta","CT"
632,"Anton E., Nicolaev S., Radu G., Maximov V.","Research on the selectivity of the pelagic trawls used in the romanian coastal fishery with small tonnage vessels",2012,NA,"Grigore Antipa' National Institute for Marine Research and Development, 300 Mamaia Blvd, Constanta, Romania","2-s2.0-84873294082","grigore antipa' national institute for marine research and development, 300 mamaia blvd, constanta, romania","Constanta","Constanta","CT"
633,"Nicolescu O., Dinu C.","Thickness variation of levees Danube submarine channel in the bifurcation area to the channel complex from the mid-Danube fan (Black Sea)",2012,NA,"University of Bucharest, Romania","2-s2.0-84890845876","university of bucharest, romania","Bucharest","Bucuresti","B"
634,"Lazar L., Gomoiu M.-T., Boicenco L., Vasiliu D.","Total Organic Carbon (TOC) of the surface layer sediments covering the seafloor of the Romanian Black Sea coast",2012,2,"National Institute for Marine Research and Development 'Grigore Antipa', Constanta, Romania","2-s2.0-84872203089","national institute for marine research and development 'grigore antipa', constanta, romania","Constanta","Constanta","CT"
634,"Lazar L., Gomoiu M.-T., Boicenco L., Vasiliu D.","Total Organic Carbon (TOC) of the surface layer sediments covering the seafloor of the Romanian Black Sea coast",2012,2,"National Research and Development Institute for Marine Geology and Geoecology - GeoEcoMar, Constanta Branch, Romania","2-s2.0-84872203089","national research and development institute for marine geology and geoecology - geoecomar, constanta branch, romania","Constanta","Constanta","CT"
636,"Stanica A., Stancheva M., Ungureanu G.V., Peychev V., Palazov A., Stanchev H., Dutu F.","Types and impacts of maritime hydraulic structures on the Romanian - Bulgarian Black Sea coast: Setting-up a common catalogue for GIS-based coastline classification",2012,1,"National Institute for Marine Geology and Geo-Ecology - GeoEcoMar, Romania","2-s2.0-84872184666","national institute for marine geology and geo-ecology - geoecomar, romania","","",""
636,"Stanica A., Stancheva M., Ungureanu G.V., Peychev V., Palazov A., Stanchev H., Dutu F.","Types and impacts of maritime hydraulic structures on the Romanian - Bulgarian Black Sea coast: Setting-up a common catalogue for GIS-based coastline classification",2012,1,"University of Bucharest, Faculty of Geology and Geophysics, Romania","2-s2.0-84872184666","university of bucharest, faculty of geology and geophysics, romania","Bucharest","Bucuresti","B"
639,"Briceag A., Stoica M., Oaie G., Melinte-Dobrinescu M.C.","Late Holocene microfaunal and nannofloral assemblages of the NW Black Sea",2012,2,"National Institute of Marine Geology and Geo-ecology, 23-25 Dimitrie Onciul Street, RO-024053 Bucharest, Romania","2-s2.0-84872172966","national institute of marine geology and geo-ecology, 23-25 dimitrie onciul street, ro-024053 bucharest, romania","Bucharest","Bucuresti","B"
639,"Briceag A., Stoica M., Oaie G., Melinte-Dobrinescu M.C.","Late Holocene microfaunal and nannofloral assemblages of the NW Black Sea",2012,2,"University of Bucharest, Faculty of Geology and Geophysics, Bucharest, Romania","2-s2.0-84872172966","university of bucharest, faculty of geology and geophysics, bucharest, romania","Bucharest","Bucuresti","B"
644,"Muresan M.","Assessment of free-living marine nematodes community from the NW Romanian Black Sea shelf",2012,1,"National Institute of Marine Geology and GeoEcology - GeoEcoMar, Constanta Branch, 304 Mamaia Blvd, 900581, Constanta, Romania","2-s2.0-84872173088","national institute of marine geology and geoecology - geoecomar, constanta branch, 304 mamaia blvd, 900581, constanta, romania","Constanta","Constanta","CT"
645,"Fagaras M.","Habitats of conservative interest and plant communities in the Sandy Black Sea coast area of Romania and Bulgaria",2012,6,"Faculty of Natural and Agricultural Sciences, Ovidius University of Constanta, 1B Aleea Universitatii, 900 470 Constanta, Romania","2-s2.0-84873284670","faculty of natural and agricultural sciences, ovidius university of constanta, 1b aleea universitatii, 900 470 constanta, romania","Constanta","Constanta","CT"
651,"Preda C., Memedemin D., Skolka M., Cogalniceanu D.","Early detection of potentially invasive invertebrate species in Mytilus galloprovincialis Lamarck, 1819 dominated communities in harbours",2012,NA,"Faculty of Natural and Agricultural Sciences, Ovidius University of Constanta, Aleea Universitatii 1, Building B, 900470 Constanta, Romania","2-s2.0-84870333441","faculty of natural and agricultural sciences, ovidius university of constanta, aleea universitatii 1, building b, 900470 constanta, romania","Constanta","Constanta","CT"
652,"Panin N., Overmars W.","The Danube delta evolution during the Holocene: Reconstruction attempt using geomorphological and geological data and existing cartographic documents",2012,2,"National Institute of Marine Geology and Geo-ecology - GeoEcoMar, Dimitrie Onciul Street No.23-25, Bucharest 024053, Romania","2-s2.0-84872195560","national institute of marine geology and geo-ecology - geoecomar, dimitrie onciul street no.23-25, bucharest 024053, romania","Bucharest","Bucuresti","B"
659,"Jura C.","The evolution of regime of navigation on international Rivers - Danube case",2012,NA,"National Council for Combating Discrimination, Christian University Dimitrie Cantemir, Romania","2-s2.0-84890759628","national council for combating discrimination, christian university dimitrie cantemir, romania","","",""
660,"Zoran L.F.V., Zoran M.A.","Fuzzy logic for marine coastal zone land cover changes assessment",2012,NA,"University Politechnica of Bucharest, Electrical Engineering Faculty, Electrical Measurements Dept., Bucharest 77206, Romania","2-s2.0-84880278460","university politechnica of bucharest, electrical engineering faculty, electrical measurements dept., bucharest 77206, romania","Bucharest","Bucuresti","B"
660,"Zoran L.F.V., Zoran M.A.","Fuzzy logic for marine coastal zone land cover changes assessment",2012,NA,"National Institute of R and D for Optoelectronics, Remote Sensing Dept., MG5, Bucharest-Magurele, 077125, Romania","2-s2.0-84880278460","national institute of r and d for optoelectronics, remote sensing dept., mg5, bucharest-magurele, 077125, romania","Bucharest","Bucuresti","B"
663,"Gasparotti C., Rusu E.","Methods for the risk assessment in maritime transportation in the black sea Basin",2012,16,"Dunarea de Jos' University of Galati, Galati, Romania","2-s2.0-84873323779","dunarea de jos' university of galati, galati, romania","Galati","Galati","GL"
665,"Vasiliu D., Boicenco L., Gomoiu M.T., Lazar L., Mihailov M.E.","Temporal variation of surface chlorophyll a in the Romanian near-shore waters",2012,8,"National Institute for Research and Development of Marine Geology and Geoecology (GeoEcoMar), Constanta Branch, 304 Mamaia Bvd, RO-900581, Constanta, Romania","2-s2.0-84873969864","national institute for research and development of marine geology and geoecology (geoecomar), constanta branch, 304 mamaia bvd, ro-900581, constanta, romania","Constanta","Constanta","CT"
665,"Vasiliu D., Boicenco L., Gomoiu M.T., Lazar L., Mihailov M.E.","Temporal variation of surface chlorophyll a in the Romanian near-shore waters",2012,8,"National Institute for Marine Research, Development Grigore Antipa, 300 Mamaia Bvd, RO-900591, Constanta, Romania","2-s2.0-84873969864","national institute for marine research, development grigore antipa, 300 mamaia bvd, ro-900591, constanta, romania","Constanta","Constanta","CT"
676,"Schrimpf A., P<e2>rvulescu L., Copilas-Ciocianu D., Petrusek A., Schulz R.","Crayfish plague pathogen detected in the Danube Delta - A potential threat to freshwater biodiversity in southeastern Europe",2012,20,"West University of Timisoara, Faculty of Chemistry, Biology, Geography, Department of Biology and Chemistry, 300115, Timisoara, Romania","2-s2.0-84868593460","west university of timisoara, faculty of chemistry, biology, geography, department of biology and chemistry, 300115, timisoara, romania","Timisoara","Timis","TM"
700,"Romanescu G., Bounegru O., Efros V.","From Greek antiquity to the middle ages: A possible incursion on special interest tourism in the Danube Delta",2012,1,"University of Iasi, Romania","2-s2.0-84865537237","university of iasi, romania","Iasi","Iasi","IS"
700,"Romanescu G., Bounegru O., Efros V.","From Greek antiquity to the middle ages: A possible incursion on special interest tourism in the Danube Delta",2012,1,"University of Suceava, Romania","2-s2.0-84865537237","university of suceava, romania","Suceava","Suceava","SV"
710,"Frunza R., Alupului C.","Territoriality and cohesion - the relevance of transport on the development strategies of danube and black sea macroregions",2012,NA,"Alexandru Ioan Cuza University of Iasi, Romania","2-s2.0-84864859707","alexandru ioan cuza university of iasi, romania","Iasi","Iasi","IS"
716,"Stoica C., Lucaciu I., Nicolau M., Vosniakos F.","Monitoring the ecological diversity of the aquatic Danube delta systems in terms of spatial-temporal relationship",2012,8,"National Research and Development Institute for Industrial Ecology, INCD, ECOIND, 90-92 Panduri Blvd., 050 663 Bucharest-5, Romania","2-s2.0-84864235715","national research and development institute for industrial ecology, incd, ecoind, 90-92 panduri blvd., 050 663 bucharest-5, romania","Bucharest","Bucuresti","B"
723,"Kiss B.J., Marinov M., Vasile A., S<e1>ndor A.D.","First records of the pine marten (Martes martes) in the Danube Delta",2012,NA,"Danube Delta National Institute for Research and Development, Strada Babadag 165, Tulcea 820112, Romania","2-s2.0-84867887092","danube delta national institute for research and development, strada babadag 165, tulcea 820112, romania","Tulcea","Tulcea","TL"
723,"Kiss B.J., Marinov M., Vasile A., S<e1>ndor A.D.","First records of the pine marten (Martes martes) in the Danube Delta",2012,NA,"Department of Taxonomy and Ecology, Babes-Bolyai University, Strada Clinicilor 5-7, Cluj-Napoca 400006, Romania","2-s2.0-84867887092","department of taxonomy and ecology, babes-bolyai university, strada clinicilor 5-7, cluj-napoca 400006, romania","Cluj Napoca","Cluj","CJ"
725,"Rusu I., Cautis F., Hutanu-Alexoaie G., Strugaru M.F., Stan N.","Politics and hydrogen energy",2012,2,"Technical University Gh. Asachi, Faculty of Chemical Engineering and Environmental Protection, Bd. D. Mangeron 71, Iasi 700050, Romania","2-s2.0-84861177231","technical university gh. asachi, faculty of chemical engineering and environmental protection, bd. d. mangeron 71, iasi 700050, romania","Iasi","Iasi","IS"
731,"Dimitriu R.G.","Geodynamic and hydro-geological constraints regarding the extension of the prospective archaeo-cultural area within the northern Romanian coastal zone",2012,7,"Department of Geophysics, National Institute of Marine Geology and Geoecology - GeoEcoMar, 23-25 Dimitrie Onciul Street, 024053 Bucharest, Romania","2-s2.0-84859161437","department of geophysics, national institute of marine geology and geoecology - geoecomar, 23-25 dimitrie onciul street, 024053 bucharest, romania","Bucharest","Bucuresti","B"
733,"Savu H.","The role of the Romanian Defense Strategy in perspective of the euroatlantical security in the Larger Black Sea Area [Rolul Strategiei Nationale de Aparare a Rom<e2>niei <ee>n perspectiva asigurarii securitatii euroatlantice <ee>n Zona Extinsa a Marii Negre]",2012,NA,"Lucian Blaga University of Sibiu, Faculty for Social Sciences, Str. Brutarilor nr. 3, Sibiu, 550201, Romania","2-s2.0-84861401375","lucian blaga university of sibiu, faculty for social sciences, str. brutarilor nr. 3, sibiu, 550201, romania","Sibiu","Sibiu","SB"
736,"Vosniakos F., Pascu L., Petre J., Cruceru L., Vasile G., Iancu V., Cristina D., Niculescu M., Niculae A., Nicolau M., Golumbeanu M.","The temporal and spatial monitoring of water and sediment physical-chemical quality from saint george branch in the period february 2009 - February 2011",2012,2,"National Research and Development Institute for Industrial Ecology - ECOIND, 90-92 Sos.Panduri, P. O. Box 050663, district 5, Bucharest, Romania","2-s2.0-84860287233","national research and development institute for industrial ecology - ecoind, 90-92 sos.panduri, p. o. box 050663, district 5, bucharest, romania","Bucharest","Bucuresti","B"
736,"Vosniakos F., Pascu L., Petre J., Cruceru L., Vasile G., Iancu V., Cristina D., Niculescu M., Niculae A., Nicolau M., Golumbeanu M.","The temporal and spatial monitoring of water and sediment physical-chemical quality from saint george branch in the period february 2009 - February 2011",2012,2,"National Institute of Marine Research and Development (NIMRD) - Grigore Antipa, BIv. Mamaia 300900581, Constantza, Romania","2-s2.0-84860287233","national institute of marine research and development (nimrd) - grigore antipa, biv. mamaia 300900581, constantza, romania","Constanta","Constanta","CT"
737,"Van Assche K., Bell S., Teampau P.","Traumatic natures of the swamp: Concepts of nature in the Romanian Danube Delta",2012,4,"Political Science, Babes Bolyai University, Cluj Napoca, Romania","2-s2.0-84863900188","political science, babes bolyai university, cluj napoca, romania","Cluj Napoca","Cluj","CJ"
744,"Rossignol I., Kaniewski D., Van Campo E., Petrescu M., Baralis A.","A modern pollen rain study from the Black Sea coast of Romania",2012,NA,"Institutul de Cercetari Eco-Muzeale Tulcea, 8800 Tulcea, Romania","2-s2.0-84859160214","institutul de cercetari eco-muzeale tulcea, 8800 tulcea, romania","Tulcea","Tulcea","TL"
746,"Mihailov M.-E., Tomescu-Chivu M.-I., Dima V.","Black sea water dynamics on the Romanian littoral - Case study: The upwelling phenomena",2012,3,"National Institute for Marine Research and Development Grigore Antipa Constanta, Mamaia Blv. No. 300, RO-900591, Constanta, Romania","2-s2.0-84859049242","national institute for marine research and development grigore antipa constanta, mamaia blv. no. 300, ro-900591, constanta, romania","Constanta","Constanta","CT"
746,"Mihailov M.-E., Tomescu-Chivu M.-I., Dima V.","Black sea water dynamics on the Romanian littoral - Case study: The upwelling phenomena",2012,3,"National Meteorological Administration, Sos. Bucuresti-Ploiesti 97, 013686 Bucharest, Romania","2-s2.0-84859049242","national meteorological administration, sos. bucuresti-ploiesti 97, 013686 bucharest, romania","Bucharest","Bucuresti","B"
746,"Mihailov M.-E., Tomescu-Chivu M.-I., Dima V.","Black sea water dynamics on the Romanian littoral - Case study: The upwelling phenomena",2012,3,"Department of Atmospheric Physics and Earth Sciences, Faculty of Physics, University of Bucharest, P.O. Box MG-11, 077125, Bucharest-Magurele, Romania","2-s2.0-84859049242","department of atmospheric physics and earth sciences, faculty of physics, university of bucharest, p.o. box mg-11, 077125, bucharest-magurele, romania","Magurele","Ilfov","IF"
748,"Isvoranu D., Badescu V.","Hydrodynamics of tsunamis generated by asteroid impact in the Black Sea",2012,1,"Faculty of Aerospace Engineering, Dept. of Aerospace Sciences 'Elie Carafoli', University Politehnica of Bucharest, Str. Gh. Polizu Nr. 1, Bucharest 011061, Romania","2-s2.0-84859206799","faculty of aerospace engineering, dept. of aerospace sciences 'elie carafoli', university politehnica of bucharest, str. gh. polizu nr. 1, bucharest 011061, romania","Bucharest","Bucuresti","B"
748,"Isvoranu D., Badescu V.","Hydrodynamics of tsunamis generated by asteroid impact in the Black Sea",2012,1,"Candida Oancea Institute, Polytechnic University of Bucharest, Spl. Independentei 313, Bucharest 060042, Romania","2-s2.0-84859206799","candida oancea institute, polytechnic university of bucharest, spl. independentei 313, bucharest 060042, romania","Bucharest","Bucuresti","B"
763,"Rugescu R.D., Staicu S., Mahmoudian S.M.","Fuzzy thrust staging kinematics for the NERVA strap-on boosters",2012,NA,"University Politehnica of Bucharest, Spl. Independentei 313, Romania","2-s2.0-84857347606","university politehnica of bucharest, spl. independentei 313, romania","Bucharest","Bucuresti","B"
765,"Raykov V.S., Panayotova M., Ivanova P., Dobrovolov I., Maximov V.","First record and allozyme data of European mudminnow Umbra krameri walbaum, 1792 (Pisces: Umbridae) in the Black Sea",2012,1,"National Institute for Marine Research and Development 'Grigore Antipa', 300, Mamaia Blvd, Constanta, Romania","2-s2.0-84856672698","national institute for marine research and development 'grigore antipa', 300, mamaia blvd, constanta, romania","Constanta","Constanta","CT"
768,"Krapal A.-M., Popa O.P., Iorgu E.I., Costache M., Popa L.O.","Isolation and characterization of new microsatellite markers for the invasive softshell clam, mya arenaria (L.) (bivalvia: Myidae)",2012,2,"Molecular Biology Department, Grigore Antipa National Museum of Natural History, Kiseleff Street, No 1, Bucharest 011341, Romania","2-s2.0-84857670918","molecular biology department, grigore antipa national museum of natural history, kiseleff street, no 1, bucharest 011341, romania","Bucharest","Bucuresti","B"
768,"Krapal A.-M., Popa O.P., Iorgu E.I., Costache M., Popa L.O.","Isolation and characterization of new microsatellite markers for the invasive softshell clam, mya arenaria (L.) (bivalvia: Myidae)",2012,2,"Departments of Biochemistry and Molecular Biology, University of Bucharest, 91-95 Spl. Independentei, Bucharest 050095, Romania","2-s2.0-84857670918","departments of biochemistry and molecular biology, university of bucharest, 91-95 spl. independentei, bucharest 050095, romania","Bucharest","Bucuresti","B"
768,"Krapal A.-M., Popa O.P., Iorgu E.I., Costache M., Popa L.O.","Isolation and characterization of new microsatellite markers for the invasive softshell clam, mya arenaria (L.) (bivalvia: Myidae)",2012,2,"Faculty of Biology, Alexandru Ioan Cuza University of Iasi, 22, Carol I Boulevard, Iasi RO 700505, Romania","2-s2.0-84857670918","faculty of biology, alexandru ioan cuza university of iasi, 22, carol i boulevard, iasi ro 700505, romania","Iasi","Iasi","IS"
781,"Dietrich O., Ailincai S.-C.","A group of Bronze Age socketed hammers / beating fists from the Lower Danube and northern Black Sea area",2012,NA,"Institutul de Cercetari Eco-Muzeale, Str. Progresului, nr. 32, 820009, Tulcea, Romania","2-s2.0-84904124322","institutul de cercetari eco-muzeale, str. progresului, nr. 32, 820009, tulcea, romania","Tulcea","Tulcea","TL"
789,"Simon T., Mazilu M.-E., Andrei M.-T., Severineanu R.-C., Dumitrascu C.","Aspects of the tourist development on the Romanian Black Sea coastline",2011,NA,"National Institute for Research-Development in Tourism, Bucharest, Romania","2-s2.0-83655172823","national institute for research-development in tourism, bucharest, romania","Bucharest","Bucuresti","B"
