"X","Authors","Title","Year","Cited.by","Affiliations","EID","Affiliations2","City","County","CountyCode"
328,"Muresan M.","Diversity and distribution of free-living nematodes within periazoic level on the Romanian shelf of the black sea",2014,NA,"National Institute of Marine Geology and Geo-Ecology (GeoEcoMar), Constanta Branch, 304 Mamaia Blvd, Constanta, Romania","2-s2.0-84923574564","national institute of marine geology and geo-ecology (geoecomar), constanta branch, 304 mamaia blvd, constanta, romania","Constanta","Constanta","CT"
330,"Arashkevich E.G., Stefanova K., Bandelj V., Siokou I., Terbiyik Kurt T., Ak Orek Y., Timofte F., Timonin A., Solidoro C.","Mesozooplankton in the open Black Sea: Regional and seasonal characteristics",2014,3,"National Inst. for Marine Research and Development Grigore Antipa, Constantia, Romania","2-s2.0-84901585224","national inst. for marine research and development grigore antipa, constantia, romania","Constanta","Constanta","CT"
331,"Zanopol A.T., Onea F., Rusu E.","Longshore curents evaluation along the Romanian black sea coast",2014,NA,"University <U+393C><U+3E33>Dunarea de Jos<U+393C><U+3E34> of Galati, Department of Mechanical Engineering, Romania","2-s2.0-84946549395","university <U+393C><U+3E33>dunarea de jos<U+393C><U+3E34> of galati, department of mechanical engineering, romania","Galati","Galati","GL"
336,"Cojocaru V.","Bibliographia classica orae septentrionalis Ponti Euxini I. Epigraphica, numismatica, onomastica & prosopographica as the first step of a research project [Bibliographia classica orae septentrionalis ponti euxini I. Epigraphica, numismatica, onomastica & prosopographica als erster schritt eines forschungsprojekts]",2014,NA,"Arch<U+653C><U+3E34>ologisches Institut, Iasi, Romania","2-s2.0-84901652755","arch<U+653C><U+3E34>ologisches institut, iasi, romania","Iasi","Iasi","IS"
340,"Mocanu M.","Considerations on tableware pottery of (L)ibida III. X research area",2014,NA,"Eco-Museum Research Institute Tulcea, Alexandru Ioan Cuza University of Iasi, Iasi, Romania","2-s2.0-84924067210","eco-museum research institute tulcea, alexandru ioan cuza university of iasi, iasi, romania","Iasi","Iasi","IS"
342,"Rusu L.","A data assimilation scheme to improve the wave predictions in the western side of the black sea",2014,1,"<U+393C><U+3E31>Dunarea de Jos<U+393C><U+3E32> University of Galati, Department of Mechanical Engineering, Romania","2-s2.0-84946562015","<U+393C><U+3E31>dunarea de jos<U+393C><U+3E32> university of galati, department of mechanical engineering, romania","Galati","Galati","GL"
355,"Romanescu G.","The catchment area of the Milesian colony of Histria, within the Razim-Sinoie lagoon complex (Romania): Hydrogeomorphologic, economic and geopolitical implications",2014,3,"Department of Geography, 'Alexandru Ioan Cuza' University of Iasi, Iasi, Romania","2-s2.0-84905696465","department of geography, 'alexandru ioan cuza' university of iasi, iasi, romania","Iasi","Iasi","IS"
358,"Margineanu R.M., Blebea-Apostu A.-M., Celarel A., Gomoiu C.-M., Costea C., Dumitras D., Ion A., Duliu O.G.","Radiometric, SEM and XRD investigation of the Chituc black sands, southern Danube Delta, Romania",2014,2,"Horia Hulubei National Institute for Physics and Nuclear Engineering, P.O. Box MG-06, 077125 Magurele (Ilfov), Romania","2-s2.0-84906726822","horia hulubei national institute for physics and nuclear engineering, p.o. box mg-06, 077125 magurele (ilfov), romania","Magurele","Ilfov","IF"
358,"Margineanu R.M., Blebea-Apostu A.-M., Celarel A., Gomoiu C.-M., Costea C., Dumitras D., Ion A., Duliu O.G.","Radiometric, SEM and XRD investigation of the Chituc black sands, southern Danube Delta, Romania",2014,2,"Geological Institute of Romania, 1, Caransebes str., 012271 Bucharest, Romania","2-s2.0-84906726822","geological institute of romania, 1, caransebes str., 012271 bucharest, romania","Bucharest","Bucuresti","B"
358,"Margineanu R.M., Blebea-Apostu A.-M., Celarel A., Gomoiu C.-M., Costea C., Dumitras D., Ion A., Duliu O.G.","Radiometric, SEM and XRD investigation of the Chituc black sands, southern Danube Delta, Romania",2014,2,"National Geological Museum, 2, Pavel Dimitrievici Kiseleff avenue, 011345 Bucharest, Romania","2-s2.0-84906726822","national geological museum, 2, pavel dimitrievici kiseleff avenue, 011345 bucharest, romania","Bucharest","Bucuresti","B"
358,"Margineanu R.M., Blebea-Apostu A.-M., Celarel A., Gomoiu C.-M., Costea C., Dumitras D., Ion A., Duliu O.G.","Radiometric, SEM and XRD investigation of the Chituc black sands, southern Danube Delta, Romania",2014,2,"University of Bucharest, Department of Structure of Matter, Earth and Atmospheric Physics and Astrophysics, P.O. Box MG-11, 077125 Magurele (Ilfov), Romania","2-s2.0-84906726822","university of bucharest, department of structure of matter, earth and atmospheric physics and astrophysics, p.o. box mg-11, 077125 magurele (ilfov), romania","Bucharest","Bucuresti","B"
386,"Ghezehegn S.G., Steef P., Hommersom A., Nils D.R., Culcea O., Krommendijk B.","Hyperspectral remote sensing for estimating coastal water quality: Case study on coast of Black Sea, Romania",2014,NA,"National Institute for Marine Research and Development Grigore Antipa, Constanta, Romania","2-s2.0-84937239165","national institute for marine research and development grigore antipa, constanta, romania","Constanta","Constanta","CT"
419,"Radu G., Anton E.","Impact of turbot fishery on cetaceans in the Romanian Black Sea area [Impacto de la pesca de rodaballo sobre los cet<e1>ceos del Mar Negro en la costa de Ruman<ed>a]",2014,2,"National Institute for Marine Research and Development 'Grigore Antipa', 3000 Mamaia Blvd., RO-900581 Constanta, Romania","2-s2.0-84897946275","national institute for marine research and development 'grigore antipa', 3000 mamaia blvd., ro-900581 constanta, romania","Constanta","Constanta","CT"
428,"Nenciu M.-I., Rosioru D., Oros A., Galatchi M., Rosoiu N.","Bioaccumulation of heavy metals in seahorse tissue at the Romanian Black Sea coast",2014,NA,"NIRDEP - National Institute for Marine Research and Development <U+393C><U+3E31>Grigore Antipa<U+393C><U+3E32>, Constanta, Romania","2-s2.0-84946547702","nirdep - national institute for marine research and development <U+393C><U+3E31>grigore antipa<U+393C><U+3E32>, constanta, romania","Constanta","Constanta","CT"
428,"Nenciu M.-I., Rosioru D., Oros A., Galatchi M., Rosoiu N.","Bioaccumulation of heavy metals in seahorse tissue at the Romanian Black Sea coast",2014,NA,"Ovidius<U+393C><U+3E32> University Constanta, Department of Biochemistry, Constanta, Romania","2-s2.0-84946547702","ovidius<U+393C><U+3E32> university constanta, department of biochemistry, constanta, romania","Constanta","Constanta","CT"
428,"Nenciu M.-I., Rosioru D., Oros A., Galatchi M., Rosoiu N.","Bioaccumulation of heavy metals in seahorse tissue at the Romanian Black Sea coast",2014,NA,"Academy of Romanian Scientists, Bucharest, Romania","2-s2.0-84946547702","academy of romanian scientists, bucharest, romania","Bucharest","Bucuresti","B"
441,"Blaj L.","Ukraine's Independence and Its Geostrategic Impact in Eastern Europe",2013,NA,"University of Suceava, Romania","2-s2.0-84890618121","university of suceava, romania","Suceava","Suceava","SV"
443,"Panait-B<ee>rzescu F.","The cult of Apollo in the Greek cities of the Black Sea: The contribution of iconographic documentation [Le culte d'apollon dans les cites grecques de la mer noire: L'apport de la documentation iconographique]",2013,NA,"Institutul de Arheologie Vasile P<U+653C><U+3E32>rvan, Bucuresti, Romania","2-s2.0-84890371011","institutul de arheologie vasile p<U+653C><U+3E32>rvan, bucuresti, romania","Bucharest","Bucuresti","B"
451,"Mihailov M.E., Diaconu V., Buga L., Stefan S., Tomescu-Chivu M.I., Ganea G., Malciu V., Matei S.","Wave characteristics in the Romanian nearshore waters",2013,NA,"National Institute for Environmental Protection Research and Development, National Institute for Marine Research and Development 'Grigore Antipa', Constanta, Romania","2-s2.0-84892617397","national institute for environmental protection research and development, national institute for marine research and development 'grigore antipa', constanta, romania","Constanta","Constanta","CT"
451,"Mihailov M.E., Diaconu V., Buga L., Stefan S., Tomescu-Chivu M.I., Ganea G., Malciu V., Matei S.","Wave characteristics in the Romanian nearshore waters",2013,NA,"Department of Atmospheric Physics and Earth Sciences, University of Bucharest, Romania","2-s2.0-84892617397","department of atmospheric physics and earth sciences, university of bucharest, romania","Bucharest","Bucuresti","B"
451,"Mihailov M.E., Diaconu V., Buga L., Stefan S., Tomescu-Chivu M.I., Ganea G., Malciu V., Matei S.","Wave characteristics in the Romanian nearshore waters",2013,NA,"National Meteorological Administration, Romania","2-s2.0-84892617397","national meteorological administration, romania","","",""
451,"Mihailov M.E., Diaconu V., Buga L., Stefan S., Tomescu-Chivu M.I., Ganea G., Malciu V., Matei S.","Wave characteristics in the Romanian nearshore waters",2013,NA,"Romanian Water National Administration, Dobrogea Litoral branch, Romania","2-s2.0-84892617397","romanian water national administration, dobrogea litoral branch, romania","","",""
452,"Varlam C., Patrascu V., Margineanu R.M., Faurescu I., Vagner I., Faurescu D., Duliu O.G.","Tritium activity concentration along the Western shore of the Black Sea",2013,NA,"National Institute of Cryogenics and Isotopic Technologies, 4 Uzinei str, 240050 Ramnicu Valcea, Romania","2-s2.0-84890288751","national institute of cryogenics and isotopic technologies, 4 uzinei str, 240050 ramnicu valcea, romania","Ramnicu Valcea","Valcea","VL"
452,"Varlam C., Patrascu V., Margineanu R.M., Faurescu I., Vagner I., Faurescu D., Duliu O.G.","Tritium activity concentration along the Western shore of the Black Sea",2013,NA,"Grigore Antipa National Institute for Marine Research and Development, 300 Mamaia Blv. 300, 900581 Constanta 3, Romania","2-s2.0-84890288751","grigore antipa national institute for marine research and development, 300 mamaia blv. 300, 900581 constanta 3, romania","Constanta","Constanta","CT"
452,"Varlam C., Patrascu V., Margineanu R.M., Faurescu I., Vagner I., Faurescu D., Duliu O.G.","Tritium activity concentration along the Western shore of the Black Sea",2013,NA,"Horia Hulubei National Institute for Physics and Nuclear Engineering, P.O. Box MG-6, 077125 Magurele, Ilfov, Romania","2-s2.0-84890288751","horia hulubei national institute for physics and nuclear engineering, p.o. box mg-6, 077125 magurele, ilfov, romania","Ilfov","Ilfov","IF"
452,"Varlam C., Patrascu V., Margineanu R.M., Faurescu I., Vagner I., Faurescu D., Duliu O.G.","Tritium activity concentration along the Western shore of the Black Sea",2013,NA,"Department of Structure of Matter, Earth and Atmospheric Physics and Astrophysics, University of Bucharest, P.O. Box MG-11, 077125 Magurele, Ilfov, Romania","2-s2.0-84890288751","department of structure of matter, earth and atmospheric physics and astrophysics, university of bucharest, p.o. box mg-11, 077125 magurele, ilfov, romania","Ilfov","Ilfov","IF"
